Produttore,Vino,Media Grezza,Prezzo,V Score,Q/P,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2004
Venturini,Amarone Classico Campomasua,4.2,35-39,54,98,sv,sv,sv,4,sv,5,4,4,4,sv,sv,sv,sv,sv
Vigneti Di Ettore,Amarone Classico Riserva,5.0,100-124,23,14,sv,sv,sv,sv,sv,sv,5,sv,sv,sv,sv,sv,sv,sv
Vigneti Di Ettore,Amarone Classico,4.0,45-49,41,59,sv,sv,4,3,sv,5,4,sv,sv,sv,sv,sv,sv,sv
Villa Canestrari,Amarone Riserva Tenuta Casaletti,3.0,40-44,5,08,sv,sv,sv,sv,3,3,sv,sv,sv,sv,sv,sv,sv,sv
Villa Canestrari,Amarone Tenuta Casaletti,3.0,35-39,3,05,sv,3,sv,sv,sv,sv,sv,sv,sv,sv,sv,sv,sv,sv
Villa Canestrari,Amarone Villa Canestrari,3.0,30-34,5,11,sv,3,3,sv,sv,sv,sv,sv,sv,sv,sv,sv,sv,sv
Villa Canestrari,Amarone Riserva Plenum,4.0,55-59,15,18,sv,sv,sv,sv,sv,4,4,sv,sv,sv,sv,sv,sv,sv
Villa Canestrari,Amarone Riserva 1888,4.0,80-84,15,13,sv,sv,sv,sv,sv,4,4,sv,sv,sv,sv,sv,sv,sv
Villa Rinaldi,Amarone Rinaldi Maior,4.0,75-79,8,07,sv,sv,sv,sv,sv,sv,sv,sv,sv,sv,4,sv,sv,sv
Villa Spinosa,Amarone Classico,3.3,35-39,16,28,sv,4,3,sv,3,sv,3,sv,sv,sv,sv,sv,sv,sv
Villa Spinosa,Amarone Classico Albasini,4.0,50-54,23,30,sv,sv,sv,sv,sv,4,sv,4,4,sv,sv,sv,sv,sv
Villa Spinosa,Amarone Classico Guglielmi Di Jago 10 Anni,5.0,75-79,23,20,sv,sv,sv,sv,sv,sv,sv,sv,sv,sv,sv,5,sv,sv
Villa Spinosa,Amarone Classico Etichetta Avorio,4.0,40-44,8,12,sv,sv,sv,sv,sv,sv,sv,sv,sv,sv,4,sv,sv,sv
Villabella,Amarone Classico Riserva Fracastoro,3.2,60-64,18,20,sv,sv,sv,sv,sv,sv,3,3,3,sv,3,4,sv,sv
Villabella,Amarone Classico,3.3,30-34,13,27,sv,sv,sv,sv,sv,3,sv,3,4,sv,sv,sv,sv,sv
Viviani,Amarone Classico,3.0,40-44,8,13,sv,sv,sv,3,sv,3,3,sv,sv,sv,sv,sv,sv,sv
Viviani,Amarone Classico Della Casa Dei Bepi,4.7,70-74,54,50,sv,sv,sv,sv,sv,5,5,4,sv,sv,sv,sv,sv,sv
Zanoni,Amarone,4.0,45-49,15,22,sv,sv,sv,4,sv,sv,4,sv,sv,sv,sv,sv,sv,sv
Zanoni,Amarone Zovo,4.0,45-49,8,11,sv,sv,sv,sv,sv,4,sv,sv,sv,sv,sv,sv,sv,sv
Zardini,Amarone,3.0,35-39,10,19,sv,3,3,3,sv,3,sv,sv,sv,sv,sv,sv,sv,sv
Zardini,Amarone Classico Riserva Leone Zardini,4.0,35-39,41,75,sv,sv,sv,4,sv,5,3,4,sv,sv,sv,sv,sv,sv
Zenato,Amarone Classico,3.2,45-49,18,26,sv,sv,4,3,sv,3,3,3,sv,sv,sv,sv,sv,sv
Zenato,Amarone Classico Riserva Sergio Zenato,3.8,90-94,34,24,sv,sv,sv,4,sv,4,4,4,sv,3,sv,sv,sv,sv
Zeni,Amarone Classico Vigne Alte,3.0,30-34,10,22,sv,3,3,3,sv,sv,3,sv,sv,sv,sv,sv,sv,sv
Zeni,Amarone Barriques,3.0,45-49,5,07,sv,sv,sv,3,sv,sv,sv,sv,3,sv,sv,sv,sv,sv
Zeni,Amarone Classico Nino Zeni,3.0,150-174,3,01,sv,sv,sv,3,sv,sv,sv,sv,sv,sv,sv,sv,sv,sv
Zonin 1821,Amarone,3.0,35-39,3,05,sv,sv,sv,sv,sv,3,sv,sv,sv,sv,sv,sv,sv,sv
Zyme,Amarone Classico,4.0,90-94,49,36,sv,sv,5,4,sv,3,sv,4,sv,4,sv,sv,sv,sv
Zyme,Amarone Riserva La Mattonara,5.0,200-249,69,21,sv,sv,sv,sv,sv,sv,sv,sv,sv,sv,5,sv,5,5
