Produttore,Vino,Media Grezza,Prezzo,V Score,Q/P,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2004
Cantina Negrar,Amarone Classico Espressioni San Rocco,5.0,95-99,1.15,01,sv,sv,sv,sv,sv,sv,sv,sv,5,sv,sv,sv,sv,sv
Cantina Negrar,Amarone Classico Espressioni Villa,3.5,95-99,0.52,00,sv,sv,sv,sv,sv,sv,sv,3,4,sv,sv,sv,sv,sv
Cantina Negrar,Amarone Classico Pruviniano,3.0,40-44,0.39,01,sv,3,sv,sv,3,3,sv,sv,sv,sv,sv,sv,sv,sv
Cantina Negrar,Amarone Classico Riserva Mater,4.0,125-149,1.16,01,sv,sv,sv,sv,sv,sv,4,4,4,sv,sv,sv,sv,sv
Cantina Negrar,Amarone Classico Vigneti Di Jago Domini Veneti,3.7,50-54,0.91,01,sv,sv,sv,3,sv,4,sv,sv,4,sv,sv,sv,sv,sv
Cavalchina,Amarone Terre d'Orti,3.0,30-34,0.79,02,sv,3,3,3,3,3,3,sv,sv,sv,sv,sv,sv,sv
Cesari,Amarone Classico,3.0,30-34,0.52,01,sv,sv,3,3,3,3,sv,sv,sv,sv,sv,sv,sv,sv
Cesari,Amarone Classico Il Bosco,3.0,45-49,0.39,01,sv,sv,sv,3,sv,3,sv,3,sv,sv,sv,sv,sv,sv
Cesari,Amarone Classico Riserva Bosan,3.8,60-64,2.19,02,sv,sv,sv,sv,sv,sv,5,4,3,3,4,sv,sv,sv
Coali Tenuta Savoia,Amarone Classico Vigneti Dei Coali,4.0,65-69,0.77,01,sv,sv,sv,sv,sv,4,4,sv,sv,sv,sv,sv,sv,sv
Corte Adami,Amarone,4.0,35-39,0.77,01,sv,sv,4,4,sv,sv,sv,sv,sv,sv,sv,sv,sv,sv
Corte Canella,Amarone,4.0,65-69,0.39,00,sv,sv,sv,4,sv,sv,sv,sv,sv,sv,sv,sv,sv,sv
Corte Rugolin,Amarone Classico Crosara Delle Strie,3.0,35-39,0.26,00,sv,sv,sv,sv,sv,3,3,sv,sv,sv,sv,sv,sv,sv
Corte Rugolin,Amarone Classico Monte Danieli,3.5,50-54,0.52,01,sv,sv,sv,sv,sv,sv,4,3,sv,sv,sv,sv,sv,sv
Corte San Benedetto,Amarone Classico Riserva Camporal,5.0,50-54,1.15,01,sv,sv,sv,sv,sv,sv,sv,sv,sv,sv,5,sv,sv,sv
Corte Scaletta,Amarone,3.0,50-54,0.13,00,sv,sv,sv,sv,sv,3,sv,sv,sv,sv,sv,sv,sv,sv
Corteforte,Amarone Classico Terre Di San Zeno,3.0,40-44,0.13,00,sv,sv,sv,sv,sv,3,sv,sv,sv,sv,sv,sv,sv,sv
Corteforte,Amarone Classico Vigneti Di Osan,4.0,60-64,0.39,00,sv,sv,sv,sv,sv,sv,4,sv,sv,sv,sv,sv,sv,sv
Costa Arente,Amarone,4.0,45-49,0.39,01,sv,sv,4,sv,sv,sv,sv,sv,sv,sv,sv,sv,sv,sv
