Vino,Media Grezza,Prezzo,VScore,QP,2022,2021,2020,2019,2018,2017,2016,2015,2014
Valle D'Aosta Chardonnay 770,3.2,35-39,30,34,sv,sv,sv,4,3,2,4,sv,3
Valle D'Aosta Petite Arvine,2.5,20-24,6,6,sv,sv,sv,3,2,sv,sv,sv,sv
Valle D'Aosta Pinot Gris,3.7,20-24,37,28,sv,sv,sv,3,5,3,sv,sv,sv
Premisse,3.0,10-14,nd,nd,sv,sv,sv,3,3,sv,sv,sv,
Sopraquota 900,4.7,35-39,nd,nd,sv,sv,sv,5,4,5,sv,sv,
Valle D'Aosta Cornalin,3.0,20-24,100,100,sv,sv,sv,3,3,3,3,3,sv
Valle D'Aosta Pinot Noir 850,3.0,35-39,5,3,sv,sv,sv,3,sv,sv,sv,sv,sv
Trasor 750,2.0,15-19,nd,nd,2,sv,sv,sv,2,2,sv,sv,sv
