Vino,Voto Medio,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010
Barbera Le Sorline,#DIV/0!,sv,3,sv,sv,sv,sv,sv,sv,sv,sv,sv
Cabernet Sauvignon Bastiani,#DIV/0!,sv,sv,sv,sv,sv,3,sv,sv,sv,3,5
Casa Bianca Pontolliese,#DIV/0!,sv,sv,sv,sv,4,3,sv,sv,sv,sv,sv
Gutturnio Farosa Riserva,#DIV/0!,sv,sv,sv,sv,3,2,sv,3,sv,2,sv
Gutturno Frizzante G842,#DIV/0!,3,2,2,2,sv,sv,sv,sv,sv,sv,sv
Gutturnio Superiore Migliorina,#DIV/0!,3,sv,3,3,sv,2,2,sv,sv,sv,sv
Ortrugo Frizzante,#DIV/0!,2,2,2,2,2,1,sv,sv,sv,sv,sv
