Produttore,Vino,Media Grezza,Prezzo,VScore,QP,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010
Rocca delle Macie,Chianti Classico Tenuta Sant'Alfonso,2.7,15-19,10,16,sv,2,3,3,2,3,3,sv,sv,sv,sv
Rocca delle Macie,Chianti Classico Famiglia Zingarelli,1.8,15-19,3,5,sv,2,2,2,2,sv,1,sv,sv,sv,sv
Rocca di Castagnoli,Chianti Classico Gran Selezione Stielle,3.3,35-39,11,8,sv,sv,sv,3,sv,4,3,sv,sv,sv,sv
Rocca di Castagnoli,Chianti Classico Riserva Capraia,3.0,25-29,4,4,sv,sv,3,sv,sv,3,sv,sv,sv,sv,sv
Rocca di Castagnoli,Chianti Classico,2.2,15-19,5,8,sv,2,2,sv,2,3,2,sv,sv,sv,sv
Rocca di Castagnoli,Chianti Classico Tempi,5.0,150-174,19,3,sv,sv,sv,sv,sv,sv,sv,5,sv,sv,sv
Rocca di Castagnoli,Chianti Classico Riserva Poggio A'Frati,2.0,20-24,2,3,sv,sv,sv,sv,2,2,sv,2,sv,sv,sv
Rocca di Castagnoli,Chianti Classico Capraia,2.0,15-19,1,1,sv,sv,sv,sv,2,sv,sv,sv,sv,sv,sv
Rocca di Castagnoli,Chianti Classico Gran Selezione Effe 55,3.0,35-39,2,2,sv,sv,sv,sv,sv,sv,3,sv,sv,sv,sv
Rocca di Montegrossi,Chianti Classico Gran Selezione Vigneto San Marcellino,3.8,40-44,21,14,sv,sv,sv,sv,4,3,4,sv,4,sv,sv
Rocca di Montegrossi,Chianti Classico,2.3,15-19,7,11,sv,2,2,3,2,2,3,sv,sv,sv,sv
Ruffino,Chianti Classico Gran Selezione Riserva Ducale Oro,3.0,30-34,27,23,sv,sv,sv,5,2,4,2,sv,2,sv,sv
Ruffino,Chianti Classico Riserva Ducale,3.0,15-18,4,7,sv,sv,3,3,sv,sv,sv,sv,sv,sv,sv
Ruffino,Chianti Classico Santedame,2.0,15-18,4,6,sv,sv,2,2,2,sv,2,sv,2,sv,sv
Ruffino,Chianti Classico Gran Selezione Romitorio Di Santedame,3.0,45-49,2,1,sv,sv,sv,sv,3,sv,sv,sv,sv,sv,sv
San Giusto A Rentennano,Chianti Classico Riserva Le Baroncole,4.2,25-29,44,44,sv,sv,4,4,4,5,4,sv,sv,sv,sv
San Giusto A Rentennano,Chianti Classico,2.8,15-19,9,15,sv,3,3,3,3,2,sv,sv,sv,sv,sv
Tenuta Di Arceno,Chianti Classico Gran Selezione Strada Al Sasso,2.8,30-34,17,14,sv,sv,4,4,3,2,sv,2,2,sv,sv
Tenuta Di Arceno,Chianti Classico Riserva,2.6,20-24,8,10,sv,sv,3,3,3,2,2,sv,sv,sv,sv
Tenuta Di Arceno,Chianti Classico,2.2,15-19,6,9,sv,3,2,2,2,2,2,sv,sv,sv,sv
Tenuta Di Lilliano,Chianti Classico Gran Selezione,3.8,30-34,42,35,sv,sv,4,4,4,3,3,5,sv,sv,sv
Tenuta Di Lilliano,Chianti Classico Riserva,3.0,25-29,13,13,sv,sv,3,3,3,3,3,3,sv,sv,sv
Tenuta Di Lilliano,Chianti Classico,2.0,15-19,4,7,sv,2,2,2,2,2,2,sv,sv,sv,sv
Tenuta La Madonnina,Chianti Classico La Palaia,2.3,20-24,8,10,sv,sv,3,3,1,2,3,2,sv,sv,sv
Tenuta La Madonnina,Chianti Classico Gran Selezione La Madonnina,2.8,25-29,11,11,sv,sv,2,3,3,3,3,3,sv,sv,sv
Tenuta La Madonnina,Chianti Classico Riserva La Madonnina,2.7,15-19,13,20,sv,sv,2,3,2,4,3,2,sv,sv,sv
Tenuta La Madonnina,Chianti Classico Bello Stento,2.3,10-14,4,10,sv,sv,2,sv,2,3,2,sv,sv,sv,sv
Tolaini,Chianti Classico Gran Selezione Vigna Montebello Sette,3.3,25-29,43,43,sv,sv,sv,5,5,3,2,3,sv,2,sv
Tolaini,Chianti Classico Vallenuova,2.8,15-19,9,15,sv,3,3,3,2,3,sv,sv,sv,sv,sv
Torraccia Di Presura,Chianti Classico Gran Selezione,2.8,40-44,9,6,sv,sv,3,3,sv,3,sv,sv,3,2,sv
Torraccia Di Presura,Chianti Classico,2.3,15-19,4,7,sv,3,2,2,sv,2,sv,sv,sv,sv,sv
Torraccia Di Presura,Chianti Classico Riserva Il Tarocco,2.6,20-24,8,10,sv,sv,2,3,3,2,3,sv,sv,sv,sv
Torraccia Di Presura,Chianti Classico Il Tarocco,2.0,15-19,4,7,sv,2,3,2,2,1,sv,sv,sv,sv,sv
Val Delle Corti,Chianti Classico,3.0,20-24,2,3,sv,sv,3,sv,sv,sv,sv,sv,sv,sv,sv
Val Delle Corti,Chianti Classico Riserva,3.0,35-39,2,2,sv,sv,sv,3,sv,sv,sv,sv,sv,sv,sv
Vallepicciola,Chianti Classico Gran Selezione Lapina,3.0,35-39,2,2,sv,sv,sv,3,sv,sv,sv,sv,sv,sv,sv
Vallepicciola,Chianti Classico,2.3,15-19,4,7,sv,2,sv,2,2,3,sv,sv,sv,sv,sv
Vallepicciola,Chianti Classico Riserva,3.0,25-29,4,4,sv,sv,sv,sv,3,3,sv,sv,sv,sv,sv
Vecchie Terre Di Montefili,Chianti Classico Gran Selezione,3.0,35-39,4,3,sv,sv,sv,3,3,sv,sv,sv,sv,sv,sv
Vecchie Terre Di Montefili,Chianti Classico,2.7,20-24,10,12,sv,sv,3,3,3,3,2,2,sv,sv,sv
Vecchie Terre Di Montefili,Chianti Classico Gran Selezione Vigna Vecchia,3.5,45-49,8,5,sv,sv,sv,sv,3,4,sv,sv,sv,sv,sv
Vecchie Terre Di Montefili,Chianti Classico Riserva,3.7,35-39,23,17,sv,sv,sv,sv,sv,5,sv,3,3,sv,sv
Vignamaggio,Chianti Classico Gran Selezione Monna Lisa,3.5,25-29,17,17,sv,sv,sv,4,3,3,sv,4,sv,sv,sv
Vignamaggio,Chianti Classico Riserva Gherardino,2.5,15-19,6,9,sv,sv,sv,3,2,2,sv,3,sv,sv,sv
Vignamaggio,Chianti Classico Terre Di Prenzano,2.0,10-14,3,7,sv,sv,2,2,2,sv,2,sv,sv,sv,sv
Villa Calcinaia,Chianti Classico Gran Selezione Vigna La Fornace,4.5,45-49,25,14,sv,sv,4,sv,5,sv,sv,sv,sv,sv,sv
Villa Calcinaia,Chianti Classico Gran Selezione Vigna Bastignano,3.6,45-49,31,18,sv,sv,3,4,3,5,sv,3,sv,sv,sv
Villa Calcinaia,Chianti Classico Gran Selezione Vigna Contessa Luisa,3.0,45-49,9,5,sv,sv,3,sv,4,sv,sv,2,sv,sv,sv
Villa Calcinaia,Chianti Classico Riserva,3.7,25-29,26,26,sv,sv,sv,2,5,4,sv,sv,sv,sv,sv
Villa Calcinaia,Chianti Classico,2.2,15-19,5,8,sv,sv,2,3,2,2,sv,2,sv,sv,sv
Villa Le Corti,Chianti Classico Gran Selezione Zac,4.0,50-54,21,11,sv,sv,5,sv,sv,3,sv,sv,sv,sv,sv
Villa Le Corti,Chianti Classico Gran Selezione Don Tommaso,4.3,30-34,38,32,sv,sv,4,sv,5,4,sv,4,sv,sv,sv
Villa Le Corti,Chianti Classico Riserva Cortevecchia,3.3,20-24,13,16,sv,sv,3,sv,4,3,sv,3,sv,sv,sv
Villa Le Corti,Chianti Classico Le Corti,2.5,15-19,6,9,sv,sv,3,sv,3,2,sv,2,sv,sv,sv
Frescobaldi,Chianti Classico Gran Selezione Rialzi Tenuta Perano,5.0,35-39,19,14,sv,sv,sv,sv,5,sv,sv,sv,sv,sv,sv
Frescobaldi,Chianti Classico Tenuta Perano,3.0,10-14,2,5,sv,sv,sv,3,sv,sv,sv,sv,sv,sv,sv
Frescobaldi,Chianti Classico Riserva Tenuta Perano,4.0,20-24,6,8,sv,sv,sv,sv,4,sv,sv,sv,sv,sv,sv
Frescobaldi,Chianti Classico Gran Selezione Rialzi,4.0,50-54,6,3,sv,sv,sv,sv,sv,4,sv,sv,sv,sv,sv
Frescobaldi,Chianti Classico,3.0,20-24,4,5,sv,sv,sv,sv,3,3,sv,sv,sv,sv,sv
Frescobaldi,Chianti Classico Riserva,3.0,30-34,2,2,sv,sv,sv,sv,sv,3,sv,sv,sv,sv,sv
Monterinaldi,Chianti Classico,3.0,15-19,2,3,sv,sv,sv,3,sv,sv,sv,sv,sv,sv,sv
Monterinaldi,Chianti Classico Vigneto Boscone,3.0,30-39,2,2,sv,sv,sv,sv,3,sv,sv,sv,sv,sv,sv
Monterinaldi,Chianti Classico Riserva Castello Monterinaldi,4.0,25-29,6,6,sv,sv,sv,sv,4,sv,sv,sv,sv,sv,sv
Monterinaldi,Chianti Classico Castello Monterinaldi,3.0,15-19,2,3,sv,sv,sv,sv,3,sv,sv,sv,sv,sv,sv
Fattoria di Valiano,Chianti Classico Gran Selezione 6.38,3.0,20-24,4,5,sv,sv,sv,sv,3,3,sv,sv,sv,sv,sv
Fattoria di Valiano,Chianti Classico,2.0,10-14,2,5,sv,sv,sv,2,2,sv,sv,2,sv,sv,sv
Fattoria di Valiano,Chianti Classico Poggio Teo,2.3,15-19,4,6,sv,sv,sv,3,2,sv,sv,sv,2,sv,sv
Fattoria di Valiano,Chianti Classico Riserva,3.0,20-24,2,3,sv,sv,sv,sv,sv,sv,sv,sv,sv,3,sv
Castello Dei Rampolla,Chianti Classico,2.7,15-19,5,8,sv,sv,3,sv,sv,3,2,sv,sv,sv,sv
Colle Bereto,Chianti Classico,2.4,15-19,6,10,sv,sv,3,2,2,3,2,sv,sv,sv,sv
Colle Bereto,Chianti Classico Riserva,3.0,35-39,9,6,sv,sv,sv,sv,3,3,3,3,sv,sv,sv
Colle Bereto,Chianti Classico Gran Selezione,4.4,40-44,65,42,sv,sv,sv,sv,5,5,4,5,sv,3,sv
Brancaia,Chianti Classico,2.0,15-19,4,6,sv,sv,2,2,2,2,2,sv,sv,sv,sv
Brancaia,Chianti Classico Riserva,2.8,25-29,12,12,sv,sv,sv,4,3,3,2,2,sv,sv,sv
Castelvecchi,Chianti Classico Gran Selezione Madonnino Della Pieve,3.3,45-49,11,6,sv,sv,sv,sv,4,3,sv,3,sv,sv,sv
Castelvecchi,Chianti Classico Capotondo,2.3,15-19,4,6,sv,sv,2,3,2,sv,sv,sv,sv,sv,sv
Castelvecchi,Chianti Classico Riserva Lodolaio,3.3,30-34,11,9,sv,sv,sv,4,3,3,sv,sv,sv,sv,sv
Banfi,Chianti Classico Fonte Alla Selva,2.0,10-14,2,5,sv,sv,2,sv,2,2,sv,sv,sv,sv,sv
Banfi,Chianti Classico Gran Selezione Fonte Alla Selva,2.5,20-24,3,4,sv,sv,sv,sv,sv,2,sv,3,sv,sv,sv
Fattoria Casa Sola,Chianti Classico Gran Selezione,3.3,50-54,13,7,sv,sv,sv,sv,4,sv,4,2,sv,sv,sv
Fattoria Casa Sola,Chianti Classico Riserva,2.7,30-34,5,4,sv,sv,sv,sv,2,sv,3,3,sv,sv,sv
Fattoria Casa Sola,Chianti Classico Casa Sola,2.3,15-19,4,6,sv,sv,sv,sv,3,2,2,sv,sv,sv,sv
Antica Fattoria Machiavelli,Chianti Classico Gran Selezione Vigna Di Fontalle,3.0,15-19,4,7,sv,sv,sv,3,sv,3,sv,sv,sv,sv,sv
Antica Fattoria Machiavelli,Chianti Classico Solatio del Tani,2.0,10-14,1,3,sv,sv,sv,2,2,sv,sv,sv,sv,sv,sv
Quercia Al Poggio,Chianti Classico Gran Selezione Vigna Lecataste,4.0,30-34,27,23,sv,sv,sv,sv,sv,3,sv,4,5,sv,sv
Quercia Al Poggio,Chianti Classico Riserva,3.8,25-29,36,36,sv,sv,sv,sv,3,5,sv,3,4,4,sv
Quercia Al Poggio,Chianti Classico,2.8,15-19,9,15,sv,sv,sv,2,3,3,sv,3,3,sv,sv
Castello Di Bossi,Chianti Classico,2.0,15-19,2,3,sv,sv,sv,sv,2,2,sv,2,sv,sv,sv
Castello Di Bossi,Chianti Classico Riserva Berardo,2.5,30-34,3,2,sv,sv,sv,sv,sv,3,sv,sv,2,sv,sv
Castello Di Bossi,Chianti Classico Gran Selezione,3.0,35-39,4,3,sv,sv,sv,sv,sv,3,sv,3,sv,sv,sv
Castello Di Bossi,Chianti Classico Riserva,2.0,25-29,1,1,sv,sv,sv,sv,sv,sv,sv,sv,2,sv,sv
Fattoria Poggerino,Chianti Classico Riserva Bugialla,3.0,35-39,2,2,sv,sv,sv,sv,3,sv,sv,sv,sv,sv,sv
Fattoria Poggerino,Chianti Classico,2.5,15-19,3,5,sv,sv,sv,sv,3,sv,sv,2,sv,sv,sv
La Montanina,Chianti Classico,3.0,10-14,2,5,sv,sv,sv,sv,3,sv,sv,sv,sv,sv,sv
Pagliarese,Chianti Classico,3.0,10-14,4,10,sv,sv,sv,3,3,sv,sv,sv,sv,sv,sv
Pagliarese,Chianti Classico Riserva,3.5,20-24,8,10,sv,sv,sv,sv,3,4,sv,sv,sv,sv,sv
Caparsa,Chianti Classico Riserva Caparsino,3.5,35-39,25,18,sv,sv,sv,sv,5,3,sv,3,3,sv,sv
Caparsa,Chianti Classico Riserva Doccio a Matteo,3.3,55-59,11,5,sv,sv,sv,sv,4,3,sv,sv,3,sv,sv
Caparsa,Chianti Classico,3.0,30-34,2,2,sv,sv,sv,sv,3,sv,sv,sv,sv,sv,sv
Caparsa,Chianti Classico Caparsino,3.0,20-24,2,3,sv,sv,sv,sv,sv,sv,3,sv,sv,sv,sv
Terre Di Perseto,Chianti Classico Albore,2.0,10-14,1,3,sv,sv,sv,sv,2,2,sv,sv,sv,sv,sv
Terre Di Perseto,Chianti Classico Albore,3.0,15-19,4,7,sv,sv,sv,sv,sv,3,sv,3,sv,sv,sv
Fattoria Carpineta Fontalpino,Chianti Classico Dofana,2.7,30-34,5,4,sv,sv,sv,2,3,3,sv,sv,sv,sv,sv
Fattoria Carpineta Fontalpino,Chianti Classico Fontalpino,2.5,15-19,6,9,sv,sv,sv,3,3,2,2,sv,sv,sv,sv
Fattoria Carpineta Fontalpino,Chianti Classico Montaperto,3.0,30-34,9,8,sv,sv,sv,2,3,4,sv,sv,sv,sv,sv
Fattoria Carpineta Fontalpino,Chianti Classico Riserva Fontalpino,3.0,30-34,2,2,sv,sv,sv,sv,sv,sv,sv,3,sv,sv,sv
Maurizio Alongi,Chianti Classico Riserva Vigna Barbischi,3.0,25-29,4,4,sv,sv,sv,sv,3,3,sv,sv,sv,sv,sv
Il Barlettaio,Chianti Classico,2.5,15-19,3,5,sv,sv,sv,sv,sv,sv,sv,3,2,sv,sv
Il Barlettaio,Chianti Classico Riserva,4.0,20-24,6,8,sv,sv,sv,sv,sv,sv,sv,sv,sv,4,sv
Borgo Scopeto,Chianti Classico,2.0,10-14,2,5,sv,sv,sv,sv,sv,2,2,2,sv,sv,sv
Borgo Scopeto,Chianti Classico Riserva Vigna Misciano,3.0,15-19,4,7,sv,sv,sv,sv,sv,sv,sv,3,3,sv,sv
Tenute Piccini,Chianti Classico Valiano Poggio Teo,3.0,20-24,2,3,sv,sv,sv,sv,sv,3,sv,sv,sv,sv,sv
Tenute Piccini,Chianti Classico Valiano,2.0,15-19,1,1,sv,sv,sv,sv,sv,2,sv,sv,sv,sv,sv
San Giorgio a Lapi,Chianti Classico Riserva Bandecca,2.0,20-24,1,1,sv,sv,sv,sv,sv,sv,sv,2,sv,sv,sv
San Giorgio a Lapi,Chianti Classico,2.0,10-14,1,3,sv,sv,sv,sv,sv,2,2,sv,sv,sv,sv
San Giorgio a Lapi,Chianti Classico Poggiorlando,2.0,10-14,1,2,sv,sv,sv,sv,sv,2,sv,sv,sv,sv,sv
Terreno,Chianti Classico A Sofia,3.0,35-39,2,2,sv,sv,sv,sv,sv,sv,sv,sv,3,sv,sv
Terreno,Chianti Classico,2.0,15-19,1,1,sv,sv,sv,sv,sv,sv,2,sv,sv,sv,sv
Terreno,Chianti Classico Riserva,3.0,20-24,2,3,sv,sv,sv,sv,sv,sv,sv,3,sv,sv,sv
Livernano,Chianti Classico Gran Selezione Casalvento,3.0,45-49,2,1,sv,sv,sv,sv,sv,sv,sv,3,sv,sv,sv
Livernano,Chianti Classico Gran Selezione Livernano,4.0,45-49,6,4,sv,sv,sv,sv,sv,sv,sv,4,sv,sv,sv
Livernano,Chianti Classico Riserva Livernano,4.0,15-19,6,10,sv,sv,sv,sv,sv,sv,sv,4,sv,sv,sv
Livernano,Chianti Classico Riserva Casalvento,2.0,15-19,1,1,sv,sv,sv,sv,sv,sv,sv,2,sv,sv,sv
Livernano,Chianti Classico Casalvento,2.0,10-14,1,2,sv,sv,sv,sv,sv,sv,sv,2,sv,sv,sv
Livernano,Chianti Classico Livernano,2.0,10-14,1,2,sv,sv,sv,sv,sv,sv,sv,2,sv,sv,sv
Villa A Sesta,Chianti Classico Il Palei,2.0,5-9,1,6,sv,sv,sv,sv,sv,sv,2,2,sv,sv,sv
Villa A Sesta,Chianti Classico Riserva,3.0,10-14,4,10,sv,sv,sv,sv,sv,sv,sv,3,3,sv,sv
Villa A Sesta,Chianti Classico Gran Selezione Sorleone,3.0,25-29,4,4,sv,sv,sv,sv,sv,sv,sv,3,3,sv,sv
Villa A Sesta,Chianti Classico Il Rosennano,2.0,5-9,1,3,sv,sv,sv,sv,sv,sv,sv,2,sv,sv,sv
Tenuta Di Nozzole,Chianti Classico Gran Selezione,3.0,30-34,2,2,sv,sv,sv,sv,sv,sv,sv,3,sv,sv,sv
Tenuta Di Nozzole,Chianti Classico Riserva La Forra,3.0,20-24,2,3,sv,sv,sv,sv,sv,sv,sv,3,sv,sv,sv
Tenuta Di Nozzole,Chianti Classico Nozzole,2.0,10-14,1,2,sv,sv,sv,sv,sv,2,sv,sv,sv,sv,sv
Tenuta Degli Dei,Chianti Classico,2.0,10-14,1,2,sv,sv,sv,sv,sv,sv,2,sv,sv,sv,sv
Antico Borgo Di Sugame,Chianti Classico,3.0,10-14,2,5,sv,sv,sv,sv,sv,sv,3,sv,sv,sv,sv
Antico Borgo Di Sugame,Chianti Classico Riserva,3.0,20-24,2,3,sv,sv,sv,sv,sv,sv,sv,3,sv,sv,sv
Castello Di Selvole,Chianti Classico Gran Selezione Ponte Rosso,2.0,25-29,1,1,sv,sv,sv,sv,sv,sv,sv,sv,2,sv,sv
Castello Di Selvole,Chianti Classico Riserva,2.0,20-24,1,1,sv,sv,sv,sv,sv,sv,sv,sv,2,sv,sv
Castello Di Selvole,Chianti Classico,1.0,15-19,1,1,sv,sv,sv,sv,sv,sv,1,sv,sv,sv,sv
Podere Torcilacqua,Chianti Classico Gran Selezione,3.0,20-24,2,3,sv,sv,sv,sv,sv,sv,sv,3,sv,sv,sv
Podere Torcilacqua,Chianti Classico,2.0,10-14,1,2,sv,sv,sv,sv,sv,sv,sv,2,sv,sv,sv
Pomona,Chianti Classico Riserva Villa Pomona,3.0,15-19,2,3,sv,sv,sv,sv,sv,sv,sv,3,sv,sv,sv
Pomona,Chianti Classico Villa Pomona,2.0,10-14,1,2,sv,sv,sv,sv,sv,sv,2,sv,sv,sv,sv
San Fabiano Calcinaia,Chianti Classico San Fabiano Calcinaia,2.0,15-19,1,1,sv,sv,sv,sv,sv,sv,2,sv,sv,sv,sv
San Fabiano Calcinaia,Chianti Classico Gran Selezione Cellole,3.0,25-29,2,2,sv,sv,sv,sv,sv,sv,sv,3,sv,sv,sv
Tenuta Di Vignole,Chianti Classico Gran Selezione Crespine,3.0,25-29,2,2,sv,sv,sv,sv,sv,sv,sv,3,sv,sv,sv
Tenuta Di Vignole,Chianti Classico Riserva Campicaia,3.0,15-19,2,3,sv,sv,sv,sv,sv,sv,sv,3,sv,sv,sv
Tenuta Di Vignole,Chianti Classico Vignole,3.0,10-14,2,5,sv,sv,sv,sv,sv,sv,sv,3,sv,sv,sv
Fattoria Viticcio,Chianti Classico Gran Selezione Prunaio,4.0,15-19,6,10,sv,sv,sv,sv,sv,sv,sv,4,sv,sv,sv
Fattoria Viticcio,Chianti Classico Riserva Viticcio,3.0,15-19,2,3,sv,sv,sv,sv,sv,sv,sv,3,sv,sv,sv
Fattoria Viticcio,Chianti Classico Viticcio,2.0,10-14,1,2,sv,sv,sv,sv,sv,sv,sv,2,sv,sv,sv
Badia Di Morrona,Chianti Riserva I Sodi Del Paretaio,3.0,15-19,18,29,sv,sv,4,4,2,3,3,2,sv,sv,sv
Badia Di Morrona,Chianti I Sodi Del Paretaio,2.3,5-9,7,28,2,3,3,2,2,2,sv,sv,sv,sv,sv
Pietro Beconcini,Chianti Riserva Pietro Beconcini,2.2,20-24,5,6,sv,sv,2,2,2,3,sv,2,sv,sv,sv
Pietro Beconcini,Chianti Antiche Vie,2.0,10-14,1,2,sv,2,sv,sv,sv,sv,sv,sv,sv,sv,sv
Camperchi,Chianti Riserva Prima Selezione,2.0,20-24,1,1,sv,sv,sv,sv,2,sv,sv,sv,sv,sv,sv
Camperchi,Chianti Sasso Lupaio,2.0,5-9,1,3,sv,sv,sv,sv,2,sv,sv,sv,sv,sv,sv
Camperchi,Chianti Riserva Sasso Lupaio,2.0,10-14,1,2,sv,sv,sv,sv,sv,sv,2,sv,sv,sv,sv
Cappella Sant'Andrea,Chianti Colli Senesi Arciduca,2.0,15-19,1,2,sv,sv,2,2,sv,sv,sv,sv,sv,sv,sv
Casale Di Falchini,Chianti Titolato Colombaia,1.6,10-14,2,5,sv,sv,2,1,2,1,2,sv,sv,sv,sv
Casanova Della Spinetta,Chianti Riserva,3.0,25-29,4,4,sv,sv,sv,sv,3,3,sv,sv,sv,sv,sv
Castello Del Trebbio,Chianti Rufina Riserva Lastricato,2.8,25-29,11,11,sv,sv,sv,3,3,3,2,3,3,sv,sv
Castello Del Trebbio,Chianti Superiore,2.2,10-14,5,11,sv,sv,3,2,2,2,2,sv,sv,sv,sv
Castello Di Farnetella,Chianti Colli Senesi,1.8,5-9,2,9,sv,2,sv,2,2,sv,1,sv,sv,sv,sv
Castello Di Poppiano,Chianti Colli Fiorentini Riserva Castello Di Poppiano,2.0,25-29,4,4,sv,sv,3,sv,2,2,1,2,sv,sv,sv
Castello Di Poppiano,Chianti Colli Fiorentini Il Cortile,2.0,15-19,3,5,sv,sv,sv,2,2,2,2,sv,sv,sv,sv
Castello Di Poppiano,Chianti Le Terre Di Poppiano,1.0,10-14,1,1,sv,sv,1,sv,sv,sv,sv,sv,sv,sv,sv
Castello Sonnino,Chianti Montespertoli Riserva Castello Di Montespertoli,2.8,10-14,11,26,sv,sv,3,3,2,3,3,3,sv,sv,sv
Castello Sonnino,Chianti Montespertoli Sonnino,2.0,5-9,3,11,sv,sv,2,2,2,2,sv,sv,sv,sv,sv
Castelvecchio,Chianti Colli Fiorentini Il Castelvecchio,2.3,15-19,4,7,sv,3,2,2,sv,2,sv,sv,sv,sv,sv
Castelvecchio,Chianti Santa Caterina,2.0,5-9,4,14,sv,2,1,2,sv,3,sv,sv,sv,sv,sv
Castelvecchio,Chianti Colli Fiorentini Riserva La Quercia,3.0,25-29,6,6,sv,sv,sv,3,3,sv,sv,3,sv,sv,sv
Fattoria Dianella,Chianti Riserva,3.0,25-29,9,9,sv,sv,sv,3,3,3,sv,3,sv,sv,sv
Fattoria Dianella,Chianti,2.4,10-14,7,16,sv,3,3,2,3,1,sv,sv,sv,sv,sv
Fattoria Selvapiana,Chianti Rufina Riserva Vigneto Bucerchiale,4.6,30-34,69,58,sv,sv,5,4,5,5,sv,4,sv,sv,sv
Fattoria Selvapiana,Chianti Rufina,2.4,10-14,6,15,sv,2,2,2,3,sv,3,sv,sv,sv,sv
Fattoria Selvapiana,Chianti Rufina Riserva Vigneto Erchi,4.0,50-54,21,11,sv,sv,sv,5,3,sv,sv,sv,sv,sv,sv
Fattoria Torre A Cona,Chianti Colli Fiorentini Riserva Badia A Corte,3.0,25-29,2,2,sv,sv,3,sv,sv,sv,sv,sv,sv,sv,sv
Fattoria Torre A Cona,Chianti Colli Fiorentini Riserva Terre Di Cino,3.0,25-29,2,2,sv,sv,3,sv,sv,sv,sv,sv,sv,sv,sv
Fattoria Torre A Cona,Chianti Colli Fiorentini,3.0,10-14,2,5,sv,3,sv,sv,sv,sv,sv,sv,sv,sv,sv
Frascole,Chianti Rufina Frascole,2.8,10-14,11,26,sv,3,3,3,3,3,2,sv,sv,sv,sv
Frascole,Chianti Rufina Riserva Frascole,3.0,25-29,16,16,sv,sv,3,3,4,3,2,3,sv,sv,sv
Guicciardini Strozzi,Chianti Colli Senesi Titolato Strozzi,2.0,10-14,4,8,sv,2,2,2,2,2,sv,sv,sv,sv,sv
I Veroni,Chianti Rufina Riserva Vigneto Quona,4.3,20-24,71,87,sv,sv,4,4,5,5,5,3,sv,sv,sv
I Veroni,Chianti Rufina I Domi,2.5,10-14,9,21,sv,2,3,3,3,3,1,sv,sv,sv,sv
Il Colombaio Di Santa Chiara,Chianti Colli Senesi Riserva Il Priore,1.8,20-24,4,4,sv,sv,sv,2,2,2,2,1,2,sv,sv
Il Colombaio Di Santa Chiara,Chianti Colli Senesi Campale,2.0,10-14,1,3,sv,sv,sv,sv,sv,2,2,sv,sv,sv,sv
Il Palagione,Chianti Colli Senesi Caelum,2.0,10-14,1,2,sv,2,sv,sv,sv,sv,sv,sv,sv,sv,sv
La Querce,Chianti Colli Fiorentini Riserva La Torretta,2.6,15-19,8,12,sv,sv,3,2,3,3,2,sv,sv,sv,sv
La Querce,Chianti Colli Fiorentini Sorrettole,1.5,5-9,1,6,sv,2,2,sv,1,1,sv,sv,sv,sv,sv
Lavacchio,Chianti Rufina Cedro,2.2,10-14,6,13,sv,3,2,2,2,2,2,sv,sv,sv,sv
Lavacchio,Chianti Puro,1.2,10-14,1,2,sv,2,1,1,1,1,sv,sv,sv,sv,sv
Lavacchio,Chianti Riserva Puro,1.3,10-14,1,2,sv,sv,sv,sv,1,2,1,sv,sv,sv,sv
Lavacchio,Chianti Rufina Ludiè,3.0,55-59,9,4,sv,sv,sv,sv,sv,3,sv,3,3,3,sv
Lavacchio,Chianti Rufina Riserva Cedro,2.5,15-19,6,9,sv,sv,sv,sv,2,3,sv,3,sv,2,sv
Malenchini,Chianti Colli Fiorentini Riserva,3.0,20-24,2,3,sv,sv,3,sv,sv,sv,sv,sv,sv,sv,sv
Malenchini,Chianti Superiore,2.0,20-24,1,1,sv,sv,2,sv,sv,sv,sv,sv,sv,sv,sv
Malenchini,Chianti Colli Fiorentini,2.0,10-14,1,2,sv,2,sv,sv,sv,sv,sv,sv,sv,sv,sv
Mannucci Droandi,Chianti Colli Aretini,3.0,10-14,2,5,sv,3,sv,sv,sv,sv,sv,sv,sv,sv,sv
Marchesi Gondi,Chianti Rufina San Giuliano,1.8,15-19,4,6,sv,2,1,2,2,2,sv,2,sv,sv,sv
Marchesi Gondi,Chianti Rufina Riserva Villa Bossi,2.8,35-39,12,9,sv,sv,sv,sv,3,3,2,2,sv,4,sv
Marchesi Gondi,Chianti Rufina Riserva Pian Dei Sorbi,2.3,25-29,4,4,sv,sv,sv,sv,2,2,sv,2,3,sv,sv
Marzocco Di Poppiano,Chianti Colli Fiorentini Riserva Marzocco Di Poppiano,3.0,15-19,6,10,sv,sv,sv,sv,3,3,3,sv,sv,sv,sv
Marzocco Di Poppiano,Chianti Colli Fiorentini Marzocco Di Poppiano,2.5,10-14,3,6,sv,3,2,sv,sv,sv,sv,sv,sv,sv,sv
Montechiaro,Chianti Colli Senesi Riserva Anno Domini 345,2.8,20-24,9,11,sv,sv,3,3,3,3,2,sv,sv,sv,sv
Montechiaro,Chianti Colli Senesi Anno Domini 345,2.3,10-14,4,8,sv,sv,2,sv,2,3,sv,sv,sv,sv,sv
Mormoraia,Chianti Colli Senesi Riserva Trochus,2.0,15-19,1,1,sv,sv,sv,sv,2,sv,sv,sv,sv,sv,sv
