Produttore,Vino,Media Grezza,Prezzo,VScore,QP,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010
Castello Di Albola,Chianti Classico Gran Selezione Santa Caterina,4.0,30-34,6,5,sv,sv,4,sv,sv,sv,sv,sv,sv,sv,sv
Castello Di Albola,Chianti Classico Riserva,3.0,20-24,2,3,sv,sv,3,sv,sv,sv,sv,sv,sv,sv,sv
Castello Di Albola,Chianti Classico,3.0,10-14,2,5,sv,3,sv,sv,sv,sv,sv,sv,sv,sv,sv
Castello Di Cacchiano,Chianti Classico,3.0,15-19,9,14,sv,sv,sv,3,3,sv,sv,3,3,sv,sv
Castello Di Cacchiano,Chianti Classico Gran Selezione Millennio,3.0,30-34,4,4,sv,sv,sv,sv,sv,3,sv,3,sv,sv,sv
Castello Di Cacchiano,Chianti Classico Riserva,3.0,25-29,4,4,sv,sv,sv,sv,sv,3,sv,3,sv,sv,sv
Castello Di Fonterutoli,Chianti Classico Gran Selezione Vicoregio 36,3.5,55-59,8,4,sv,sv,3,4,sv,sv,sv,sv,sv,sv,sv
Castello Di Fonterutoli,Chianti Classico Gran Selezione Badiola,3.5,55-59,8,4,sv,sv,3,4,sv,sv,sv,sv,sv,sv,sv
Castello Di Fonterutoli,Chianti Classico Riserva Ser Lapo,2.2,15-19,6,9,sv,sv,3,2,2,2,2,2,sv,sv,sv
Castello Di Fonterutoli,Chianti Classico Gran Selezione Castello Di Fonterutoli,3.0,45-49,4,2,sv,sv,3,3,sv,sv,sv,sv,sv,sv,sv
Castello Di Fonterutoli,Chianti Classico Fonterutoli,2.4,15-19,6,10,sv,sv,2,2,2,3,3,sv,sv,sv,sv
Castello Di Fonterutoli,Chianti Classico Gran Selezione,3.0,40-44,6,4,sv,sv,sv,sv,3,3,sv,3,sv,sv,sv
Castello Di Gabbiano,Chianti Classico Gran Selezione Cavaliere d'Oro Bellezza,3.5,30-34,20,17,sv,sv,sv,2,4,4,sv,4,sv,sv,sv
Castello Di Gabbiano,Chianti Classico Riserva Cavaliere d'Oro,2.6,20-24,8,10,sv,sv,2,2,3,3,3,sv,sv,sv,sv
Castello Di Gabbiano,Chianti Classico Cavaliere d'Oro,2.0,10-14,3,7,sv,sv,2,2,2,2,sv,sv,sv,sv,sv
Castello Di Meleto,Chianti Classico Gran Selezione Vigna Poggiarso,4.0,45-49,6,4,sv,sv,sv,4,sv,sv,sv,sv,sv,sv,sv
Castello Di Meleto,Chianti Classico Gran Selezione Vigna Casi,3.0,35-39,2,2,sv,sv,sv,3,sv,sv,sv,sv,sv,sv,sv
Castello Di Meleto,Chianti Classico Riserva,3.0,20-24,4,5,sv,sv,3,3,sv,sv,sv,sv,sv,sv,sv
Castello Di Meleto,Chianti Classico,2.2,15-19,6,9,sv,2,3,2,2,2,sv,2,sv,sv,sv
Castello Di Meleto,Chianti Classico Riserva Vigna Casi,3.0,25-29,6,6,sv,sv,sv,sv,3,3,3,sv,sv,sv,sv
Castello Di Meleto,Chianti Classico Riserva Vigna Poggiarso,3.0,25-29,2,2,sv,sv,sv,sv,3,sv,sv,sv,sv,sv,sv
Castello Di Meleto,Chianti Classico 50° anniversario,3.0,25-29,2,2,sv,sv,sv,sv,3,sv,sv,sv,sv,sv,sv
Castello Di Meleto,Chianti Classico Gran Selezione,3.3,35-39,11,8,sv,sv,sv,sv,sv,3,sv,4,3,sv,sv
Castello Di Meleto,Chianti Classico Riserva Borgaio,2.0,15-19,1,1,sv,sv,2,sv,sv,sv,sv,sv,sv,sv,sv
Castello Di Monsanto,Chianti Classico Gran Selezione Il Poggio,4.8,55-59,100,47,sv,sv,sv,sv,5,5,4,5,5,5,sv
Castello Di Monsanto,Chianti Classico,2.3,15-19,7,11,sv,3,3,2,2,2,2,sv,sv,sv,sv
Castello Di Monsanto,Chianti Classico Riserva,3.2,25-29,20,20,sv,sv,3,4,4,3,3,2,sv,sv,sv
Castello Di Poppiano,Chianti Classico Riserva Belvedere Campoli,3.0,30-34,6,5,sv,sv,3,sv,3,3,sv,sv,sv,sv,sv
Castello Di Poppiano,Chianti Classico Gran Selezione Il Tabernacolo,3.0,40-44,4,3,sv,sv,sv,3,sv,3,sv,sv,sv,sv,sv
Castello Di Poppiano,Chianti Classico Belvedere Campoli,2.0,20-24,1,1,sv,sv,sv,2,sv,sv,sv,sv,sv,sv,sv
Castello Di Querceto,Chianti Classico Gran Selezione La Corte,3.5,25-29,8,8,sv,sv,3,4,sv,sv,sv,sv,sv,sv,sv
Castello Di Querceto,Chianti Classico Gran Selezione Il Picchio,2.6,25-29,8,8,sv,sv,3,3,2,2,sv,3,sv,sv,sv
Castello Di Querceto,Chianti Classico Riserva,2.0,20-24,4,5,sv,sv,2,2,2,2,2,2,sv,sv,sv
Castello Di Querceto,Chianti Classico,2.0,10-14,4,8,sv,2,2,2,2,2,sv,sv,sv,sv,sv
Castello Di Radda,Chianti Classico Riserva,3.3,20-24,13,16,sv,sv,sv,sv,4,4,2,sv,sv,sv,sv
