Produttore,Vino,Media Grezza,Prezzo,VScore,QP,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
La Calonica,Vino Nobile Di Montepulciano Riserva San Venerio,3.0,25-29,2,2,sv,sv,sv,sv,sv,sv,3,sv,sv,sv
La Ciarliana,Vino Nobile Di Montepulciano Vigna Scianello,3.0,35-39,2,2,sv,sv,3,sv,sv,sv,sv,sv,sv,sv
La Ciarliana,Vino Nobile Di Montepulciano,3.0,15-19,2,4,sv,3,sv,sv,sv,sv,sv,sv,sv,sv
Le Bèrne,Vino Nobile Di Montepulciano Riserva,3.3,25-29,14,14,sv,4,3,3,sv,3,sv,sv,sv,sv
Le Bèrne,Vino Nobile Di Montepulciano,3.0,15-19,11,18,3,3,3,3,3,sv,sv,sv,sv,sv
Le Bertille,Vino Nobile Di Montepulciano,3.0,15-19,14,22,3,3,3,3,3,3,sv,sv,sv,sv
Le Bertille,Vino Nobile Di Montepulciano Riserva,3.3,25-29,11,11,sv,sv,3,3,4,sv,sv,sv,sv,sv
Le Casalte,Vino Nobile Di Montepulciano,4.0,15-19,7,11,sv,sv,sv,sv,sv,4,sv,sv,sv,sv
Le Casalte,Vino Nobile Di Montepulciano Quercetonda,5.0,30-34,20,17,sv,sv,sv,sv,sv,5,sv,sv,sv,sv
Lombardo,Vino Nobile Di Montepulciano,2.3,20-24,5,6,sv,sv,2,3,2,2,sv,sv,sv,sv
Lombardo,Vino Nobile Di Montepulciano Riserva,3.5,20-24,9,11,sv,sv,sv,sv,4,3,sv,sv,sv,sv
Lombardo,Vino Nobile Di Montepulciano Poggio Saragio,3.0,25-29,5,5,sv,sv,sv,sv,sv,3,sv,3,sv,sv
Manvi,Vino Nobile Di Montepulciano Arya,3.0,20-24,2,3,sv,3,sv,sv,sv,sv,sv,sv,sv,sv
Manvi,Vino Nobile Di Montepulciano Riserva Ojas,3.0,25-29,2,2,sv,sv,sv,3,sv,sv,sv,sv,sv,sv
Manvi,Vino Nobile Di Montepulciano,2.0,15-19,1,1,sv,sv,sv,sv,2,sv,sv,sv,sv,sv
Montemercurio,Vino Nobile Di Montepulciano Messaggero,3.8,20-24,45,55,sv,5,4,4,sv,sv,4,3,3,sv
Montemercurio,Vino Nobile Di Montepulciano Damo,4.3,55-59,42,20,sv,sv,sv,sv,sv,sv,5,5,sv,3
Nottola,Vino Nobile Di Montepulciano,2.5,15-19,6,10,sv,sv,3,3,2,2,sv,sv,sv,sv
Nottola,Vino Nobile Di Montepulciano Riserva Origine,3.0,30-34,5,4,sv,sv,sv,3,sv,3,sv,sv,sv,sv
Nottola,Vino Nobile Di Montepulciano Riserva Il Fattore,3.0,25-29,2,2,sv,sv,sv,sv,sv,sv,sv,3,sv,sv
Poggio Alla Sala,Vino Nobile Di Montepulciano,3.0,10-14,5,10,sv,sv,sv,3,sv,3,sv,sv,sv,sv
Poggio Alla Sala,Vino Nobile Di Montepulciano Parceto,2.5,20-24,3,4,sv,sv,sv,3,sv,2,sv,sv,sv,sv
