Produttore,Vino,Media Grezza,Prezzo,VScore,QP,2020,2019,2018,2017,2016,2015
Diego Curtaz,Valle D'Aosta Petit Rouge,3.0,10-14,33,33,sv,3,sv,sv,sv,sv
Di Barrò,Valle D'Aosta Petit Rouge,3.0,10-14,33,33,sv,3,sv,sv,sv,sv
Institut Agricole Regional,Valle D'Aosta Petit Rouge,2.2,10-14,100,100,3,2,3,2,2,1
Le Grain,Valle D'Aosta Petit Rouge,2.7,10-14,77,77,sv,3,3,2,sv,sv
Didier Gerbelle,Valle D'Aosta Petit Rouge Vigne Plan,2.7,10-14,77,77,sv,sv,3,sv,3,2
