Produttore,Vino,Media Grezza,Prezzo,V Score,Q/P,2018,2017,2016,2015,2014,2013,2012,2011
Bruno Giacosa,Barbaresco Asili Riserva,5.0,400-449,50,6,sv,sv,5,sv,5,sv,sv,5
Bruno Giacosa,Barbaresco Rabajà,4.4,200-249,57,13,sv,5,3,5,4,5,sv,sv
Bruno Giacosa,Barbaresco Asili,4.5,150-174,22,7,sv,4,sv,5,sv,sv,sv,sv
Carlo Giacosa,Barbaresco Asili,5.0,80-84,17,10,5,sv,sv,sv,sv,sv,sv,sv
Carlo Giacosa,Barbaresco Montefico,4.5,45-49,74,79,4,5,5,5,5,3,sv,sv
Carlo Giacosa,Barbaresco Riserva Luca,3.5,60-64,15,12,sv,sv,4,4,3,sv,sv,3
Carlo Giacosa,Barbaresco Ovello,4.0,40-44,6,7,4,sv,sv,sv,sv,sv,sv,sv
Carlo Giacosa,Barbaresco Narin,3.0,25-29,8,14,sv,sv,3,3,3,3,sv,sv
Fratelli Giacosa,Barbaresco Basarin Vigna Gianmatè,3.0,45-49,11,12,3,3,3,3,3,3,sv,sv
Icardi,Barbaresco Starderi,3.0,55-59,6,5,sv,3,3,3,sv,sv,sv,sv
Icardi,Barbaresco Mountubert,3.0,35-39,9,13,sv,3,3,3,3,3,sv,sv
La Spinetta,Barbaresco Vigneto Starderi,4.0,125-149,48,18,5,5,4,4,3,3,sv,sv
La Spinetta,Barbaresco Vigneto Campè,5.0,125-149,17,6,sv,5,sv,sv,sv,sv,sv,sv
La Spinetta,Barbaresco Gallina,3.2,125-149,15,5,3,3,3,3,4,3,sv,sv
La Spinetta,Barbaresco Bordini,3.0,60-64,9,8,sv,3,3,3,3,sv,3,sv
La Spinetta,Barbaresco Vigneto Valeirano,5.0,125-149,83,30,sv,5,5,5,5,5,sv,sv
La Spinetta,Barbaresco Vigneto Garretti,3.0,50-54,2,2,sv,3,sv,sv,sv,sv,sv,sv
Ugo Lequio,Barbaresco Gallina Riserva,3.0,45-49,4,4,sv,sv,3,sv,sv,sv,sv,3
Ugo Lequio,Barbaresco Gallina,3.4,35-39,17,23,sv,3,4,4,3,3,sv,sv
Walter Lodali,Barbaresco Lorens,3.0,40-44,4,4,3,3,sv,sv,sv,sv,sv,sv
Walter Lodali,Barbaresco Rocche Dei Sette Fratelli,3.0,20-24,4,9,3,3,sv,sv,sv,sv,sv,sv
Marchesi Di Gresy,Barbaresco Martinenga Riserva Camp Gros,5.0,100-124,100,45,sv,sv,5,5,5,5,5,5
Marchesi Di Gresy,Barbaresco Martinenga Gaiun,3.8,80-84,37,23,sv,5,4,3,4,4,3,sv
Marchesi Di Gresy,Barbaresco Martinenga,2.8,50-54,8,8,sv,3,3,3,3,2,sv,sv
Moccagatta,Barbaresco Bric Balin,3.5,40-44,30,35,5,3,3,4,3,3,sv,sv
Moccagatta,Barbaresco Cole,3.0,50-54,11,11,3,3,3,3,3,3,sv,sv
Moccagatta,Barbaresco,3.0,30-34,2,3,3,sv,sv,sv,sv,sv,sv,sv
Moccagatta,Barbaresco Basarin,2.8,40-44,6,8,sv,sv,3,3,3,2,sv,sv
