Produttore,Vino,Media Grezza,Prezzo,VScore,QP,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
Ceretto,Barbaresco Bernardot,3.3,90-94,19,10,4,3,3,3,4,3,sv,sv,sv,sv
Ceretto,Barbaresco,3.0,40-44,9,11,sv,3,3,3,3,3,sv,sv,sv,sv
Cogno,Barbaresco Bordini,3.0,35-39,11,15,3,3,3,3,3,3,sv,sv,sv,sv
Collina Serragrilli,Barbaresco Starderi,3.2,50-54,15,14,4,3,3,3,3,3,sv,sv,sv,sv
Collina Serragrilli,Barbaresco Serragrilli,3.0,35-39,11,15,3,3,3,3,3,3,sv,sv,sv,sv
Dante Rivetti,Barbaresco Bricco Di Neive Riserva,3.5,40-44,30,35,5,4,3,3,3,3,sv,sv,sv,sv
Dante Rivetti,Barbaresco Bric-Micca,3.5,40-44,30,35,5,3,3,4,3,3,sv,sv,sv,sv
Figli Di Luigi Oddero,Barbaresco Rombone,3.6,45-49,21,22,4,4,4,3,3,sv,sv,sv,sv,sv
Fontanabianca,Barbaresco Serraboella,3.0,35-39,8,10,3,sv,3,3,sv,3,sv,sv,sv,sv
Fontanabianca,Barbaresco Bordini,3.7,35-39,34,45,3,3,4,4,3,5,sv,sv,sv,sv
Fontanabianca,Barbaresco,3.0,25-29,11,21,3,3,3,3,3,3,sv,sv,sv,sv
Fratelli Giacosa,Barbaresco Basarin Vigna Gianmatè,3.0,45-49,11,12,3,3,3,3,3,3,sv,sv,sv,sv
Gaja,Barbaresco,4.5,175-199,67,18,5,4,5,4,4,5,sv,sv,sv,sv
Gaja,Barbaresco Sorì San Lorenzo,4.7,450-499,39,4,sv,5,sv,5,4,sv,sv,sv,sv,sv
Gaja,Barbaresco Costa Russi,4.0,450-499,22,2,sv,4,4,4,sv,4,sv,sv,sv,sv
Gaja,Barbaresco Sorì Tildìn,4.8,450-499,72,8,sv,4,5,5,5,5,sv,sv,sv,sv
Giuseppe Cortese,Barbaresco Rabajà,4.5,45-49,74,78,5,4,5,3,5,5,sv,sv,sv,sv
Giuseppe Cortese,Barbaresco,3.0,30-34,4,6,3,3,sv,sv,sv,sv,sv,sv,sv,sv
Giuseppe Cortese,Barbaresco Rabajà Riserva,5.0,90-94,33,18,sv,sv,sv,sv,sv,5,sv,5,sv,sv
Giuseppe Negro,Barbaresco Piancavallo,3.5,35-39,7,10,4,sv,3,sv,sv,sv,sv,sv,sv,sv
Giuseppe Negro,Barbaresco Gallina,3.0,35-39,2,3,3,sv,sv,sv,sv,sv,sv,sv,sv,sv
Icardi,Barbaresco Starderi,3.0,55-59,6,5,sv,3,3,3,sv,sv,sv,sv,sv,sv
Icardi,Barbaresco Mountubert,3.0,35-39,9,13,sv,3,3,3,3,3,sv,sv,sv,sv
La Spinetta,Barbaresco Vigneto Starderi,4.0,125-149,48,17,5,5,4,4,3,3,sv,sv,sv,sv
La Spinetta,Barbaresco Vigneto Campè,5.0,125-149,17,6,sv,5,sv,sv,sv,sv,sv,sv,sv,sv
La Spinetta,Barbaresco Gallina,3.2,125-149,15,5,3,3,3,3,4,3,sv,sv,sv,sv
La Spinetta,Barbaresco Bordini,3.0,60-64,9,8,sv,3,3,3,3,sv,3,sv,sv,sv
La Spinetta,Barbaresco Vigneto Valeirano,5.0,125-149,83,30,sv,5,5,5,5,5,sv,sv,sv,sv
La Spinetta,Barbaresco Vigneto Garretti,3.0,50-54,2,2,sv,3,sv,sv,sv,sv,sv,sv,sv,sv
