Vino,Voto Medio,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010
Amarone Classico Riserva Capitel Monte Olmi,3.8,sv,sv,sv,sv,4,sv,4,4,3,4
Amarone Classico Riserva La Fabriseria,5,sv,sv,sv,sv,5,sv,sv,sv,5,sv
Amarone Marne 180,3,sv,sv,3,3,sv,sv,sv,sv,sv,sv
Amarone Riserva Maternigo,5,sv,sv,sv,5,sv,sv,sv,sv,sv,sv
Valpolicella Classico Superiore La Fabriseria,3,sv,sv,3,3,sv,sv,sv,3,sv,sv
Valpolicella Ripasso Superiore Capitel San Rocco,3,sv,3,3,3,3,3,sv,sv,sv,sv
Valpolicella Superiore Capitel Nicalo,3,3,3,3,sv,3,sv,sv,sv,sv,sv
Valpolicella Superiore Maternigo,3,sv,sv,3,3,3,3,3,sv,sv,sv
