Vino,Media Grezza,Prezzo,VScore,QP,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013
Valle D'Aosta Pinot Noir,2.0,25-29,2,2,sv,sv,sv,sv,sv,sv,2,sv,sv,sv
Valle D'Aosta Torrette,3.0,10-14,4,7,sv,sv,sv,sv,sv,sv,3,sv,sv,sv
