Produttore,Vino,Media Grezza,Prezzo,VScore,QP,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006
Borgogno,Barolo Cannubi,4.2,95-99,59,23,sv,4,5,5,3,5,3,sv,sv,sv,sv,sv
Borgogno,Barolo Riserva,3.2,100-124,15,5,sv,sv,sv,3,3,4,3,3,3,sv,sv,sv
Borgogno,Barolo,3.0,50-54,9,7,sv,3,3,3,3,3,sv,sv,sv,sv,sv,sv
Borgogno,Barolo Fossati,3.6,45-49,28,22,sv,3,3,sv,3,4,5,sv,sv,sv,sv,sv
Boroli,Barolo Brunella,4.2,85-89,46,20,5,5,4,4,3,sv,sv,sv,sv,sv,sv,sv
Boroli,Barolo Cerequio,3.3,80-84,26,12,3,3,3,5,3,3,sv,sv,sv,sv,sv,sv
Boroli,Barolo Villero,4.2,80-84,52,24,4,4,5,3,5,4,sv,sv,sv,sv,sv,sv
Boroli,Barolo,3.5,40-44,15,13,sv,3,sv,4,4,3,sv,sv,sv,sv,sv,sv
Brezza,Barolo Sarmassa Riserva Vigna Bricco,4.7,60-64,39,24,sv,sv,5,sv,4,sv,5,sv,sv,sv,sv,sv
Brezza,Barolo Sarmassa,4.3,45-49,63,50,5,5,5,3,4,4,sv,sv,sv,sv,sv,sv
Brezza,Barolo Cannubi,3.8,40-44,30,27,4,4,4,4,3,4,sv,sv,sv,sv,sv,sv
Brezza,Barolo Castellero,3.2,40-44,13,12,3,4,3,3,3,sv,sv,sv,sv,sv,sv,sv
Brezza,Barolo,3.0,25-29,6,8,sv,sv,sv,3,3,3,sv,sv,sv,sv,sv,sv
Bricco Maiolica,Barolo Del Comune Di Diano Contadin,3.0,50-54,11,8,3,3,3,3,3,3,sv,sv,sv,sv,sv,sv
Brovia,Barolo Rocche Di Castiglione,4.0,95-99,43,17,5,4,3,sv,3,5,sv,sv,sv,sv,sv,sv
Brovia,Barolo Villero,4.4,95-99,57,22,5,3,5,sv,5,4,sv,sv,sv,sv,sv,sv
Brovia,Barolo Brea Vigna Ca Mia,4.8,95-99,72,28,4,5,5,sv,5,5,sv,sv,sv,sv,sv,sv
