Produttore,Vino,Media Grezza,Prezzo,V Score,Q/P,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006
Bersano,Barolo Riserva Badarina,3.3,50-54,11,8,sv,sv,sv,sv,3,3,3,4,sv,sv,sv,sv
Boasso Gabutti,Barolo Margheria,3.0,40-44,11,10,3,3,3,3,3,3,sv,sv,sv,sv,sv,sv
Boasso Gabutti,Barolo Gabutti,3.2,50-54,15,11,3,3,3,3,3,4,sv,sv,sv,sv,sv,sv
Boasso Gabutti,Barolo Del Comune Di Serralunga,2.8,25-29,10,14,3,3,3,3,3,2,sv,sv,sv,sv,sv,sv
Boasso Gabutti,Barolo Riserva Margheria,3.0,50-54,4,3,sv,sv,3,sv,3,sv,sv,sv,sv,sv,sv,sv
Enzo Boglietti,Barolo Arione,4.7,85-89,78,34,5,5,4,5,5,4,sv,sv,sv,sv,sv,sv
Enzo Boglietti,Barolo Fossati,3.7,65-69,33,19,5,3,3,4,4,3,sv,sv,sv,sv,sv,sv
Enzo Boglietti,Barolo Brunate,4.3,85-89,56,24,4,4,5,4,4,5,sv,sv,sv,sv,sv,sv
Enzo Boglietti,Barolo Boiolo,3.0,50-54,11,8,3,3,3,3,3,3,sv,sv,sv,sv,sv,sv
Enzo Boglietti,Barolo Case Nere,3.3,85-89,19,8,3,4,3,3,3,4,sv,sv,sv,sv,sv,sv
Enzo Boglietti,Barolo Del Comune Di La Morra,3.0,45-49,2,2,3,sv,sv,sv,sv,sv,sv,sv,sv,sv,sv,sv
Enzo Boglietti,Barolo Riserva ,4.0,100-124,6,2,sv,sv,sv,sv,sv,sv,sv,sv,sv,4,sv,sv
Silvano Bolmida,Barolo Bussia,3.5,45-49,7,6,4,3,sv,sv,sv,sv,sv,sv,sv,sv,sv,sv
Silvano Bolmida,Barolo Bussia Vigna Dei Fantini,3.0,45-49,4,3,3,3,sv,sv,sv,sv,sv,sv,sv,sv,sv,sv
Silvano Bolmida,Barolo Riserva Bussia,3.0,65-69,2,1,sv,sv,3,sv,sv,sv,sv,sv,sv,sv,sv,sv
Borgogno,Barolo Liste,4.0,75-79,48,24,sv,5,4,3,5,3,4,sv,sv,sv,sv,sv
Borgogno,Barolo Cannubi,4.2,95-99,59,23,sv,4,5,5,3,5,3,sv,sv,sv,sv,sv
Borgogno,Barolo Riserva,3.2,100-124,15,5,sv,sv,sv,3,3,4,3,3,3,sv,sv,sv
Borgogno,Barolo,3.0,50-54,9,7,sv,3,3,3,3,3,sv,sv,sv,sv,sv,sv
Borgogno,Barolo Fossati,3.6,45-49,28,22,sv,3,3,sv,3,4,5,sv,sv,sv,sv,sv
Fratelli Borgogno,Barolo Riserva Cannubi,3.7,60-64,13,8,sv,sv,4,sv,4,3,sv,sv,sv,sv,sv,sv
Fratelli Borgogno,Barolo Cannubi,3.0,60-64,8,5,3,3,3,3,sv,sv,sv,sv,sv,sv,sv,sv
Fratelli Borgogno,Barolo,3.0,40-44,4,3,3,sv,3,sv,sv,sv,sv,sv,sv,sv,sv,sv
Boroli,Barolo Brunella,4.2,85-89,46,20,5,5,4,4,3,sv,sv,sv,sv,sv,sv,sv
Boroli,Barolo Cerequio,3.3,80-84,26,12,3,3,3,5,3,3,sv,sv,sv,sv,sv,sv
Boroli,Barolo Villero,4.2,80-84,52,24,4,4,5,3,5,4,sv,sv,sv,sv,sv,sv
Boroli,Barolo,3.5,40-44,15,13,sv,3,sv,4,4,3,sv,sv,sv,sv,sv,sv
Agostino Bosco,Barolo La Serra,3.0,40-44,11,10,3,3,3,3,3,3,sv,sv,sv,sv,sv,sv
Agostino Bosco,Barolo Del Comune Di La Morra,3.0,25-29,2,3,3,sv,sv,sv,sv,sv,sv,sv,sv,sv,sv,sv
Agostino Bosco,Barolo Neirane,3.0,30-34,9,11,3,3,3,3,3,sv,sv,sv,sv,sv,sv,sv
Gianfranco Bovio,Barolo Riserva De-Rieumes,5.0,65-69,33,19,sv,sv,5,sv,5,sv,sv,sv,sv,sv,sv,sv
Gianfranco Bovio,Barolo Arborina,3.6,45-49,28,22,3,3,3,sv,4,5,sv,sv,sv,sv,sv,sv
Gianfranco Bovio,Barolo Gattera,3.0,45-49,9,8,3,3,3,sv,3,3,sv,sv,sv,sv,sv,sv
Gianfranco Bovio,Barolo Parussi,3.5,50-54,7,5,3,4,sv,sv,sv,sv,sv,sv,sv,sv,sv,sv
Gianfranco Bovio,Barolo,3.0,30-34,11,13,3,3,3,3,3,3,sv,sv,sv,sv,sv,sv
Gianfranco Bovio,Barolo Rocchettevino,3.0,40-44,4,3,sv,3,3,sv,sv,sv,sv,sv,sv,sv,sv,sv
Brezza,Barolo Sarmassa Riserva Vigna Bricco,4.7,60-64,39,24,sv,sv,5,sv,4,sv,5,sv,sv,sv,sv,sv
Brezza,Barolo Sarmassa,4.3,45-49,63,50,5,5,5,3,4,4,sv,sv,sv,sv,sv,sv
Brezza,Barolo Cannubi,3.8,40-44,30,27,4,4,4,4,3,4,sv,sv,sv,sv,sv,sv
Brezza,Barolo Castellero,3.2,40-44,13,12,3,4,3,3,3,sv,sv,sv,sv,sv,sv,sv
