Produttore,Vino,Media Grezza,Prezzo,VScore,QP,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011
Costa Archi,Romagna Sangiovese Serra Riserva Monte Brullo,4.3,15-19,65,67,sv,sv,sv,sv,5,4,sv,3,5,sv
Drei Donà Tenuta La Palazza,Romagna Sangiovese Predappio Notturno,3.6,10-14,48,70,sv,5,4,4,3,2,sv,sv,sv,sv
Drei Donà Tenuta La Palazza,Romagna Sangiovese Superiore Riserva Pruno,3.8,25-29,41,27,sv,sv,sv,4,5,3,sv,3,sv,sv
Drei Donà Tenuta La Palazza,Romagna Sangiovese Superiore Riserva Cuvee Palazza,2.5,20-24,4,3,sv,sv,sv,sv,sv,3,sv,2,sv,sv
Drei Donà Tenuta La Palazza,Romagna Sangiovese Superiore Riserva Pruno Grande Annata,4.0,45-49,9,3,sv,sv,sv,sv,sv,4,sv,sv,sv,sv
Monticino Rosso,Romagna Sangiovese Superiore S,2.6,5-9,12,30,3,sv,3,3,3,1,sv,sv,sv,sv
Monticino Rosso,Romagna Sangiovese Superiore Riserva Frutti Rossi,3.3,10-14,15,22,sv,sv,sv,3,3,4,sv,sv,sv,sv
Monticino Rosso,Romagna Sangiovese Superiore S Zero Solfiti,2.3,5-9,6,15,sv,sv,2,2,3,2,sv,sv,sv,sv
Monticino Rosso,Romagna Sangiovese Superiore Riserva Le Morine,2.7,15-19,7,7,sv,sv,sv,sv,sv,2,3,sv,3,sv
Fattoria Nicolucci,Romagna Sangiovese Predappio Riserva Vigna Del Generale,4.3,25-29,100,65,sv,sv,5,4,5,4,3,5,sv,sv
Fattoria Nicolucci,Romagna Sangiovese Predappio Riserva Vigna Del Generale Selezione CXXX,4.5,95-99,35,6,sv,sv,sv,sv,4,5,sv,sv,sv,sv
Fattoria Nicolucci,Romagna Sangiovese Superiore Tre Rocche,3.0,10-14,15,22,sv,3,3,3,3,3,sv,sv,sv,sv
Fattoria Nicolucci,Romagna Sangiovese Superiore I Mandorli,3.0,5-9,3,8,sv,sv,3,sv,sv,sv,sv,sv,sv,sv
