Produttore,Vino,Media Grezza,Prezzo,VScore,QP,2019,2018,2017,2016,2015
Cave Gargantua,Valle D'Aosta Bianco Daphne,3.0,30-34,100,100,3,3,sv,3,3
Les Cretes,Valle D'Aosta Bianco Neige D'Or,3.0,60-64,75,39,sv,3,3,3,sv
Cave Gargantua,Valle D'Aosta Bianco Vin De La Fee,3.0,15-19,25,47,3,sv,sv,sv,sv
Cave Monaja,Valle D'Aosta Bianco Stau,3.0,30-34,25,25,sv,3,sv,sv,sv
