Produttore,Vino,Annata,Regione,Punteggio,Degustazione,Note
Cesarini Sforza,Trento Brut Riserva Aquila Reale,2011,Trentino,87,–,
Altemasi Cavit,Trentino Superiore Muller Thurgau Zeveri,2018,Trentino,86,–,
Kettmeir,Alto Adige Spumante Extra Brut Riserva 1919,2015,Trentino,94,–,
Cantina Valle Isarco,Alto Adige Valle Isarco Kerner Aristos,2020,Alto-Adige,93,–,
Cantina Merano,Alto Adige Pinot Bianco Riserva V Years,2015,Alto-Adige,86,–,
San Michele Appiano,Alto Adige Sauvignon Sanct Valentin,2020,Alto-Adige,86,–,
Cantina Bolzano,Alto Adige Sauvignon Riserva Greel,2019,Alto-Adige,86,–,
Cantina Convento Muri Gries,Alto Adige Lagrein Riserva Vigna Klosteranger,2015,Alto-Adige,91,–,
Cantina Convento Muri Gries,Alto Adige Lagrein Riserva Vigna Klosteranger,2016,Alto-Adige,92,–,
