Vino,Voto Medio,2020,2019,2018,2017,2016,2015,2014,2013
Gewurztraminer,2.3,sv,3,sv,sv,2,2,sv,sv
Manna,3.3,sv,3,5,3,2,3,4,sv
Moscato Giallo,3.2,4,2,3,2,5,sv,sv,sv
Moscato Rosa,2.2,3,sv,2,sv,2,2,2,sv
Petit Manseng,3.0,sv,3,3,sv,sv,sv,sv,sv
Pinot Bianco Lepus,2.3,sv,2,sv,2,2,3,sv,sv
Pinot Nero,2.8,sv,sv,2,4,3,2,3,sv
Pinot Nero Schweizer,3.2,sv,sv,sv,3,4,3,3,3
Sauvignon,2.0,sv,2,2,2,sv,2,sv,sv
