Vino,Voto Medio,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011
Barbera,4.0,sv,sv,sv,sv,sv,4,sv,sv,sv,sv
Fra Diavolo,3.0,sv,sv,sv,sv,sv,sv,3,sv,sv,sv
Gutturnio Frizzante,3.0,sv,3,3,sv,3,sv,sv,sv,sv,sv
Gutturnio Superiore,3.0,sv,sv,3,3,sv,sv,sv,sv,sv,sv
Il Giorgione,4.5,sv,sv,sv,sv,sv,sv,sv,5,sv,4
Il Ranuccio,3.0,3,sv,sv,sv,sv,sv,sv,sv,sv,sv
Malvasia Passito L Angelica,4.0,sv,sv,sv,sv,sv,sv,sv,4,5,3
