Produttore,Vino,Media Grezza,Prezzo,VScore,QP,2019,2018,2017,2016,2015
Cave Gargantua,Valle D'Aosta Rosso Gamaret,4.0,20-24,67,67,5,3,sv,sv,sv
Cave Gargantua,Valle D'Aosta Rosso Impasse,2.5,20-24,18,18,sv,3,2,3,2
Cave Monaja,Valle D'Aosta Rosso Foehn,2.5,35-39,9,5,sv,3,2,sv,sv
Cave Monaja,Valle D'Aosta Rosso Monaja 300,3.0,60-64,14,5,sv,sv,3,3,sv
Caves Cooperatives De Donnas,Valle D'Aosta Rosso Barmet,2.5,10-14,9,17,3,2,sv,sv,sv
Di Francesco Gasperi,Valle D'Aosta Rosso Planchettes,2.5,15-19,9,12,sv,3,2,sv,sv
Didier Gerbelle,Valle D'Aosta Rosso Coeur De Meleze,3.5,35-39,27,16,sv,sv,sv,3,4
Didier Gerbelle,Valle D'Aosta Rosso L'Aine,4.3,20-24,100,100,sv,4,sv,4,5
Didier Gerbelle,Valle D'Aosta Rosso Peque-Na,3.0,15-19,20,26,sv,3,3,3,sv
La Cantina Di Cuneaz,Valle D'Aosta Rosso Badebec,2.7,15-19,16,21,3,2,sv,3,sv
La Cantina Di Cuneaz,Valle D'Aosta Rosso Les Gosses,2.0,15-19,7,9,3,sv,sv,1,sv
La Plantze,Valle D'Aosta Rosso El Teemp,2.0,15-19,2,3,2,sv,sv,sv,sv
Le Vieux Joseph,Valle D'Aosta Rosso Mariadzo,2.0,20-24,2,2,sv,sv,sv,sv,2
Lo Triolet,Valle D'Aosta Rosso Coteau Barrage,3.0,25-29,27,22,3,3,3,3,sv
Piantagrossa,Valle D'Aosta Rosso 396 Aesculus Hippocastanum,2.3,15-19,14,18,2,3,2,2,sv
Tanteun E Marietta,Valle D'Aosta Rosso Boheme,2.5,25-29,9,7,sv,2,sv,3,sv
Tanteun E Marietta,Valle D'Aosta Rosso Farouche,3.0,15-19,14,18,3,sv,3,sv,sv
