Produttore,Vino,Media Grezza,V Score,Prezzo,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010
Ruffino,Chianti Classico Gran Selezione Riserva Ducale Oro,3.0,1.36,30-34,sv,sv,5,2,4,2,sv,2,sv,sv
Ruffino,Chianti Classico Riserva Ducale,3.0,0.21,15-18,sv,3,3,sv,sv,sv,sv,sv,sv,sv
Ruffino,Chianti Classico Santedame,2.0,0.18,15-18,sv,2,2,2,sv,2,sv,2,sv,sv
Ruffino,Chianti Classico Gran Selezione Romitorio Di Santedame,3.0,0.11,45-49,sv,sv,sv,3,sv,sv,sv,sv,sv,sv
San Giusto A Rentennano,Chianti Classico Riserva Le Baroncole,4.2,2.20,25-29,sv,4,4,4,5,4,sv,sv,sv,sv
San Giusto A Rentennano,Chianti Classico,2.8,0.46,15-19,3,3,3,3,2,sv,sv,sv,sv,sv
Tenuta Di Arceno,Chianti Classico Gran Selezione Strada Al Sasso,2.8,0.84,30-34,sv,4,4,3,2,sv,2,2,sv,sv
Tenuta Di Arceno,Chianti Classico Riserva,2.6,0.39,20-24,sv,3,3,3,2,2,sv,sv,sv,sv
Tenuta Di Arceno,Chianti Classico,2.2,0.29,15-19,3,2,2,2,2,2,sv,sv,sv,sv
Tenuta Di Lilliano,Chianti Classico Gran Selezione,3.8,2.09,30-34,sv,4,4,4,3,3,5,sv,sv,sv
Tenuta Di Lilliano,Chianti Classico Riserva,3.0,0.64,25-29,sv,3,3,3,3,3,3,sv,sv,sv
Tenuta Di Lilliano,Chianti Classico,2.0,0.22,15-19,2,2,2,2,2,2,sv,sv,sv,sv
Tenuta La Madonnina,Chianti Classico La Palaia,2.3,0.39,20-24,sv,3,3,1,2,3,2,sv,sv,sv
Tenuta La Madonnina,Chianti Classico Gran Selezione La Madonnina,2.8,0.57,25-29,sv,2,3,3,3,3,3,sv,sv,sv
Tenuta La Madonnina,Chianti Classico Riserva La Madonnina,2.7,0.64,15-19,sv,2,3,2,4,3,2,sv,sv,sv
Tenuta La Madonnina,Chianti Classico Bello Stento,2.3,0.22,10-14,sv,2,sv,2,3,2,sv,sv,sv,sv
Tolaini,Chianti Classico Gran Selezione Vigna Montebello Sette,3.3,2.16,25-29,sv,sv,5,5,3,2,3,sv,2,sv
Tolaini,Chianti Classico Vallenuova,2.8,0.46,15-19,3,3,3,2,3,sv,sv,sv,sv,sv
Torraccia Di Presura,Chianti Classico Gran Selezione,2.8,0.46,40-44,sv,3,3,sv,3,sv,sv,3,2,sv
Torraccia Di Presura,Chianti Classico,2.3,0.22,15-19,3,2,2,sv,2,sv,sv,sv,sv,sv
Torraccia Di Presura,Chianti Classico Riserva Il Tarocco,2.6,0.39,20-24,sv,2,3,3,2,3,sv,sv,sv,sv
Torraccia Di Presura,Chianti Classico Il Tarocco,2.0,0.22,15-19,2,3,2,2,1,sv,sv,sv,sv,sv
Val Delle Corti,Chianti Classico,3.0,0.11,20-24,sv,3,sv,sv,sv,sv,sv,sv,sv,sv
Val Delle Corti,Chianti Classico Riserva,3.0,0.11,35-39,sv,sv,3,sv,sv,sv,sv,sv,sv,sv
Vallepicciola,Chianti Classico Gran Selezione Lapina,3.0,0.11,35-39,sv,sv,3,sv,sv,sv,sv,sv,sv,sv
Vallepicciola,Chianti Classico,2.3,0.22,15-19,2,sv,2,2,3,sv,sv,sv,sv,sv
Vallepicciola,Chianti Classico Riserva,3.0,0.21,25-29,sv,sv,sv,3,3,sv,sv,sv,sv,sv
Vecchie Terre Di Montefili,Chianti Classico Gran Selezione,3.0,0.21,35-39,sv,sv,3,3,sv,sv,sv,sv,sv,sv
Vecchie Terre Di Montefili,Chianti Classico,2.7,0.50,20-24,sv,3,3,3,3,2,2,sv,sv,sv
Vecchie Terre Di Montefili,Chianti Classico Gran Selezione Vigna Vecchia,3.5,0.42,45-49,sv,sv,sv,3,4,sv,sv,sv,sv,sv
Vecchie Terre Di Montefili,Chianti Classico Riserva,3.7,1.15,35-39,sv,sv,sv,sv,5,sv,3,3,sv,sv
Vignamaggio,Chianti Classico Gran Selezione Monna Lisa,3.5,0.84,25-29,sv,sv,4,3,3,sv,4,sv,sv,sv
Vignamaggio,Chianti Classico Riserva Gherardino,2.5,0.29,15-19,sv,sv,3,2,2,sv,3,sv,sv,sv
Vignamaggio,Chianti Classico Terre Di Prenzano,2.0,0.15,10-14,sv,2,2,2,sv,2,sv,sv,sv,sv
Villa Calcinaia,Chianti Classico Gran Selezione Vigna La Fornace,4.5,1.25,45-49,sv,4,sv,5,sv,sv,sv,sv,sv,sv
Villa Calcinaia,Chianti Classico Gran Selezione Vigna Bastignano,3.6,1.57,45-49,sv,3,4,3,5,sv,3,sv,sv,sv
Villa Calcinaia,Chianti Classico Gran Selezione Vigna Contessa Luisa,3.0,0.46,45-49,sv,3,sv,4,sv,sv,2,sv,sv,sv
Villa Calcinaia,Chianti Classico Riserva,3.7,1.29,25-29,sv,sv,2,5,4,sv,sv,sv,sv,sv
Villa Calcinaia,Chianti Classico,2.2,0.25,15-19,sv,2,3,2,2,sv,2,sv,sv,sv
Villa Le Corti,Chianti Classico Gran Selezione Zac,4.0,1.04,50-54,sv,5,sv,sv,3,sv,sv,sv,sv,sv
Villa Le Corti,Chianti Classico Gran Selezione Don Tommaso,4.3,1.88,30-34,sv,4,sv,5,4,sv,4,sv,sv,sv
Villa Le Corti,Chianti Classico Riserva Cortevecchia,3.3,0.63,20-24,sv,3,sv,4,3,sv,3,sv,sv,sv
Villa Le Corti,Chianti Classico Le Corti,2.5,0.29,15-19,sv,3,sv,3,2,sv,2,sv,sv,sv
Frescobaldi,Chianti Classico Gran Selezione Rialzi Tenuta Perano,5.0,0.94,35-39,sv,sv,sv,5,sv,sv,sv,sv,sv,sv
Frescobaldi,Chianti Classico Tenuta Perano,3.0,0.11,10-14,sv,sv,3,sv,sv,sv,sv,sv,sv,sv
Frescobaldi,Chianti Classico Riserva Tenuta Perano,4.0,0.31,20-24,sv,sv,sv,4,sv,sv,sv,sv,sv,sv
Frescobaldi,Chianti Classico Gran Selezione Rialzi,4.0,0.31,50-54,sv,sv,sv,sv,4,sv,sv,sv,sv,sv
Frescobaldi,Chianti Classico,3.0,0.21,20-24,sv,sv,sv,3,3,sv,sv,sv,sv,sv
Frescobaldi,Chianti Classico Riserva,3.0,0.11,30-34,sv,sv,sv,sv,3,sv,sv,sv,sv,sv
Monterinaldi,Chianti Classico,3.0,0.11,15-19,sv,sv,3,sv,sv,sv,sv,sv,sv,sv
Monterinaldi,Chianti Classico Vigneto Boscone,3.0,0.11,30-39,sv,sv,sv,3,sv,sv,sv,sv,sv,sv
Monterinaldi,Chianti Classico Riserva Castello Monterinaldi,4.0,0.31,25-29,sv,sv,sv,4,sv,sv,sv,sv,sv,sv
Monterinaldi,Chianti Classico Castello Monterinaldi,3.0,0.11,15-19,sv,sv,sv,3,sv,sv,sv,sv,sv,sv
Fattoria di Valiano,Chianti Classico Gran Selezione 6.38,3.0,0.21,20-24,sv,sv,sv,3,3,sv,sv,sv,sv,sv
Fattoria di Valiano,Chianti Classico,2.0,0.11,10-14,sv,sv,2,2,sv,sv,2,sv,sv,sv
Fattoria di Valiano,Chianti Classico Poggio Teo,2.3,0.18,15-19,sv,sv,3,2,sv,sv,sv,2,sv,sv
Fattoria di Valiano,Chianti Classico Riserva,3.0,0.11,20-24,sv,sv,sv,sv,sv,sv,sv,sv,3,sv
Castello Dei Rampolla,Chianti Classico,2.7,0.25,15-19,sv,3,sv,sv,3,2,sv,sv,sv,sv
Colle Bereto,Chianti Classico,2.4,0.32,15-19,sv,3,2,2,3,2,sv,sv,sv,sv
Colle Bereto,Chianti Classico Riserva,3.0,0.43,35-39,sv,sv,sv,3,3,3,3,sv,sv,sv
Colle Bereto,Chianti Classico Gran Selezione,4.4,3.23,40-44,sv,sv,sv,5,5,4,5,sv,3,sv
Brancaia,Chianti Classico,2.0,0.18,15-19,sv,2,2,2,2,2,sv,sv,sv,sv
Brancaia,Chianti Classico Riserva,2.8,0.60,25-29,sv,sv,4,3,3,2,2,sv,sv,sv
Castelvecchi,Chianti Classico Gran Selezione Madonnino Della Pieve,3.3,0.53,45-49,sv,sv,sv,4,3,sv,3,sv,sv,sv
Castelvecchi,Chianti Classico Capotondo,2.3,0.18,15-19,sv,2,3,2,sv,sv,sv,sv,sv,sv
Castelvecchi,Chianti Classico Riserva Lodolaio,3.3,0.53,30-34,sv,sv,4,3,3,sv,sv,sv,sv,sv
Banfi,Chianti Classico Fonte Alla Selva,2.0,0.11,10-14,sv,2,sv,2,2,sv,sv,sv,sv,sv
Banfi,Chianti Classico Gran Selezione Fonte Alla Selva,2.5,0.14,20-24,sv,sv,sv,sv,2,sv,3,sv,sv,sv
Fattoria Casa Sola,Chianti Classico Gran Selezione,3.3,0.67,50-54,sv,sv,sv,4,sv,4,2,sv,sv,sv
Fattoria Casa Sola,Chianti Classico Riserva,2.7,0.25,30-34,sv,sv,sv,2,sv,3,3,sv,sv,sv
Fattoria Casa Sola,Chianti Classico Casa Sola,2.3,0.18,15-19,sv,sv,sv,3,2,2,sv,sv,sv,sv
Antica Fattoria Machiavelli,Chianti Classico Gran Selezione Vigna Di Fontalle,3.0,0.21,15-19,sv,sv,3,sv,3,sv,sv,sv,sv,sv
Antica Fattoria Machiavelli,Chianti Classico Solatio del Tani,2.0,0.07,10-14,sv,sv,2,2,sv,sv,sv,sv,sv,sv
Quercia Al Poggio,Chianti Classico Gran Selezione Vigna Lecataste,4.0,1.36,30-34,sv,sv,sv,sv,3,sv,4,5,sv,sv
Quercia Al Poggio,Chianti Classico Riserva,3.8,1.78,25-29,sv,sv,sv,3,5,sv,3,4,4,sv
Quercia Al Poggio,Chianti Classico,2.8,0.46,15-19,sv,sv,2,3,3,sv,3,3,sv,sv
Castello Di Bossi,Chianti Classico,2.0,0.11,15-19,sv,sv,sv,2,2,sv,2,sv,sv,sv
Castello Di Bossi,Chianti Classico Riserva Berardo,2.5,0.14,30-34,sv,sv,sv,sv,3,sv,sv,2,sv,sv
Castello Di Bossi,Chianti Classico Gran Selezione,3.0,0.21,35-39,sv,sv,sv,sv,3,sv,3,sv,sv,sv
Castello Di Bossi,Chianti Classico Riserva,2.0,0.04,25-29,sv,sv,sv,sv,sv,sv,sv,2,sv,sv
Fattoria Poggerino,Chianti Classico Riserva Bugialla,3.0,0.11,35-39,sv,sv,sv,3,sv,sv,sv,sv,sv,sv
Fattoria Poggerino,Chianti Classico,2.5,0.14,15-19,sv,sv,sv,3,sv,sv,2,sv,sv,sv
La Montanina,Chianti Classico,3.0,0.11,10-14,sv,sv,sv,3,sv,sv,sv,sv,sv,sv
Pagliarese,Chianti Classico,3.0,0.21,10-14,sv,sv,3,3,sv,sv,sv,sv,sv,sv
Pagliarese,Chianti Classico Riserva,3.5,0.42,20-24,sv,sv,sv,3,4,sv,sv,sv,sv,sv
Caparsa,Chianti Classico Riserva Caparsino,3.5,1.26,35-39,sv,sv,sv,5,3,sv,3,3,sv,sv
Caparsa,Chianti Classico Riserva Doccio a Matteo,3.3,0.53,55-59,sv,sv,sv,4,3,sv,sv,3,sv,sv
Caparsa,Chianti Classico,3.0,0.11,30-34,sv,sv,sv,3,sv,sv,sv,sv,sv,sv
Caparsa,Chianti Classico Caparsino,3.0,0.11,20-24,sv,sv,sv,sv,sv,3,sv,sv,sv,sv
Terre Di Perseto,Chianti Classico Albore,2.0,0.07,10-14,sv,sv,sv,2,2,sv,sv,sv,sv,sv
Terre Di Perseto,Chianti Classico Albore,3.0,0.21,15-19,sv,sv,sv,sv,3,sv,3,sv,sv,sv
Fattoria Carpineta Fontalpino,Chianti Classico Dofana,2.7,0.25,30-34,sv,sv,2,3,3,sv,sv,sv,sv,sv
Fattoria Carpineta Fontalpino,Chianti Classico Fontalpino,2.5,0.29,15-19,sv,sv,3,3,2,2,sv,sv,sv,sv
Fattoria Carpineta Fontalpino,Chianti Classico Montaperto,3.0,0.46,30-34,sv,sv,2,3,4,sv,sv,sv,sv,sv
Fattoria Carpineta Fontalpino,Chianti Classico Riserva Fontalpino,3.0,0.11,30-34,sv,sv,sv,sv,sv,sv,3,sv,sv,sv
Maurizio Alongi,Chianti Classico Riserva Vigna Barbischi,3.0,0.21,25-29,sv,sv,sv,3,3,sv,sv,sv,sv,sv
Il Barlettaio,Chianti Classico,2.5,0.14,15-19,sv,sv,sv,sv,sv,sv,3,2,sv,sv
Il Barlettaio,Chianti Classico Riserva,4.0,0.31,20-24,sv,sv,sv,sv,sv,sv,sv,sv,4,sv
Borgo Scopeto,Chianti Classico,2.0,0.11,10-14,sv,sv,sv,sv,2,2,2,sv,sv,sv
Borgo Scopeto,Chianti Classico Riserva Vigna Misciano,3.0,0.21,15-19,sv,sv,sv,sv,sv,sv,3,3,sv,sv
Tenute Piccini,Chianti Classico Valiano Poggio Teo,3.0,0.11,20-24,sv,sv,sv,sv,3,sv,sv,sv,sv,sv
Tenute Piccini,Chianti Classico Valiano,2.0,0.04,15-19,sv,sv,sv,sv,2,sv,sv,sv,sv,sv
San Giorgio a Lapi,Chianti Classico Riserva Bandecca,2.0,0.04,20-24,sv,sv,sv,sv,sv,sv,2,sv,sv,sv
San Giorgio a Lapi,Chianti Classico,2.0,0.07,10-14,sv,sv,sv,sv,2,2,sv,sv,sv,sv
San Giorgio a Lapi,Chianti Classico Poggiorlando,2.0,0.04,10-14,sv,sv,sv,sv,2,sv,sv,sv,sv,sv
Terreno,Chianti Classico A Sofia,3.0,0.11,35-39,sv,sv,sv,sv,sv,sv,sv,3,sv,sv
Terreno,Chianti Classico,2.0,0.04,15-19,sv,sv,sv,sv,sv,2,sv,sv,sv,sv
Terreno,Chianti Classico Riserva,3.0,0.11,20-24,sv,sv,sv,sv,sv,sv,3,sv,sv,sv
Livernano,Chianti Classico Gran Selezione Casalvento,3.0,0.11,45-49,sv,sv,sv,sv,sv,sv,3,sv,sv,sv
Livernano,Chianti Classico Gran Selezione Livernano,4.0,0.31,45-49,sv,sv,sv,sv,sv,sv,4,sv,sv,sv
Livernano,Chianti Classico Riserva Livernano,4.0,0.31,15-19,sv,sv,sv,sv,sv,sv,4,sv,sv,sv
Livernano,Chianti Classico Riserva Casalvento,2.0,0.04,15-19,sv,sv,sv,sv,sv,sv,2,sv,sv,sv
Livernano,Chianti Classico Casalvento,2.0,0.04,10-14,sv,sv,sv,sv,sv,sv,2,sv,sv,sv
Livernano,Chianti Classico Livernano,2.0,0.04,10-14,sv,sv,sv,sv,sv,sv,2,sv,sv,sv
Villa A Sesta,Chianti Classico Il Palei,2.0,0.07,5-9,sv,sv,sv,sv,sv,2,2,sv,sv,sv
Villa A Sesta,Chianti Classico Riserva,3.0,0.21,10-14,sv,sv,sv,sv,sv,sv,3,3,sv,sv
Villa A Sesta,Chianti Classico Gran Selezione Sorleone,3.0,0.21,25-29,sv,sv,sv,sv,sv,sv,3,3,sv,sv
Villa A Sesta,Chianti Classico Il Rosennano,2.0,0.04,5-9,sv,sv,sv,sv,sv,sv,2,sv,sv,sv
Tenuta Di Nozzole,Chianti Classico Gran Selezione,3.0,0.11,30-34,sv,sv,sv,sv,sv,sv,3,sv,sv,sv
Tenuta Di Nozzole,Chianti Classico Riserva La Forra,3.0,0.11,20-24,sv,sv,sv,sv,sv,sv,3,sv,sv,sv
Tenuta Di Nozzole,Chianti Classico Nozzole,2.0,0.04,10-14,sv,sv,sv,sv,2,sv,sv,sv,sv,sv
Tenuta Degli Dei,Chianti Classico,2.0,0.04,10-14,sv,sv,sv,sv,sv,2,sv,sv,sv,sv
Antico Borgo Di Sugame,Chianti Classico,3.0,0.11,10-14,sv,sv,sv,sv,sv,3,sv,sv,sv,sv
Antico Borgo Di Sugame,Chianti Classico Riserva,3.0,0.11,20-24,sv,sv,sv,sv,sv,sv,3,sv,sv,sv
Castello Di Selvole,Chianti Classico Gran Selezione Ponte Rosso,2.0,0.04,25-29,sv,sv,sv,sv,sv,sv,sv,2,sv,sv
Castello Di Selvole,Chianti Classico Riserva,2.0,0.04,20-24,sv,sv,sv,sv,sv,sv,sv,2,sv,sv
Castello Di Selvole,Chianti Classico,1.0,0.00,15-19,sv,sv,sv,sv,sv,1,sv,sv,sv,sv
Podere Torcilacqua,Chianti Classico Gran Selezione,3.0,0.11,20-24,sv,sv,sv,sv,sv,sv,3,sv,sv,sv
Podere Torcilacqua,Chianti Classico,2.0,0.04,10-14,sv,sv,sv,sv,sv,sv,2,sv,sv,sv
Pomona,Chianti Classico Riserva Villa Pomona,3.0,0.11,15-19,sv,sv,sv,sv,sv,sv,3,sv,sv,sv
Pomona,Chianti Classico Villa Pomona,2.0,0.04,10-14,sv,sv,sv,sv,sv,2,sv,sv,sv,sv
San Fabiano Calcinaia,Chianti Classico San Fabiano Calcinaia,2.0,0.04,15-19,sv,sv,sv,sv,sv,2,sv,sv,sv,sv
San Fabiano Calcinaia,Chianti Classico Gran Selezione Cellole,3.0,0.11,25-29,sv,sv,sv,sv,sv,sv,3,sv,sv,sv
Tenuta Di Vignole,Chianti Classico Gran Selezione Crespine,3.0,0.11,25-29,sv,sv,sv,sv,sv,sv,3,sv,sv,sv
Tenuta Di Vignole,Chianti Classico Riserva Campicaia,3.0,0.11,15-19,sv,sv,sv,sv,sv,sv,3,sv,sv,sv
Tenuta Di Vignole,Chianti Classico Vignole,3.0,0.11,10-14,sv,sv,sv,sv,sv,sv,3,sv,sv,sv
Fattoria Viticcio,Chianti Classico Gran Selezione Prunaio,4.0,0.31,15-19,sv,sv,sv,sv,sv,sv,4,sv,sv,sv
Fattoria Viticcio,Chianti Classico Riserva Viticcio,3.0,0.11,15-19,sv,sv,sv,sv,sv,sv,3,sv,sv,sv
Fattoria Viticcio,Chianti Classico Viticcio,2.0,0.04,10-14,sv,sv,sv,sv,sv,sv,2,sv,sv,sv
