Produttore,Vino,Media Grezza,V Score,Prezzo,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010
Castello Di Albola,Chianti Classico,3.0,0.11,10-14,3,sv,sv,sv,sv,sv,sv,sv,sv,sv
Castello Di Cacchiano,Chianti Classico,3.0,0.43,15-19,sv,sv,3,3,sv,sv,3,3,sv,sv
Castello Di Cacchiano,Chianti Classico Gran Selezione Millennio,3.0,0.21,30-34,sv,sv,sv,sv,3,sv,3,sv,sv,sv
Castello Di Cacchiano,Chianti Classico Riserva,3.0,0.21,25-29,sv,sv,sv,sv,3,sv,3,sv,sv,sv
Castello di Fonterutoli,Chianti Classico Gran Selezione Vicoregio 36,3.5,0.42,55-59,sv,3,4,sv,sv,sv,sv,sv,sv,sv
Castello di Fonterutoli,Chianti Classico Gran Selezione Badiola,3.5,0.42,55-59,sv,3,4,sv,sv,sv,sv,sv,sv,sv
Castello di Fonterutoli,Chianti Classico Riserva Ser Lapo,2.2,0.29,15-19,sv,3,2,2,2,2,2,sv,sv,sv
Castello di Fonterutoli,Chianti Classico Gran Selezione Castello di Fonterutoli,3.0,0.21,45-49,sv,3,3,sv,sv,sv,sv,sv,sv,sv
Castello di Fonterutoli,Chianti Classico Fonterutoli,2.4,0.32,15-19,sv,2,2,2,3,3,sv,sv,sv,sv
Castello di Fonterutoli,Chianti Classico Gran Selezione,3.0,0.32,40-44,sv,sv,sv,3,3,sv,3,sv,sv,sv
Castello di Gabbiano,Chianti Classico Gran Selezione Cavaliere d'Oro Bellezza,3.5,0.98,30-34,sv,sv,2,4,4,sv,4,sv,sv,sv
Castello di Gabbiano,Chianti Classico Riserva Cavaliere d'Oro,2.6,0.39,20-24,sv,2,2,3,3,3,sv,sv,sv,sv
Castello di Gabbiano,Chianti Classico Cavaliere d'Oro,2.0,0.15,10-14,sv,2,2,2,2,sv,sv,sv,sv,sv
Castello di Meleto,Chianti Classico Gran Selezione Vigna Poggiarso,4.0,0.31,45-49,sv,sv,4,sv,sv,sv,sv,sv,sv,sv
Castello di Meleto,Chianti Classico Gran Selezione Vigna Casi,3.0,0.11,35-39,sv,sv,3,sv,sv,sv,sv,sv,sv,sv
Castello di Meleto,Chianti Classico Riserva,3.0,0.21,20-24,sv,3,3,sv,sv,sv,sv,sv,sv,sv
Castello di Meleto,Chianti Classico,2.2,0.29,15-19,2,3,2,2,2,sv,2,sv,sv,sv
Castello di Meleto,Chianti Classico Riserva Vigna Casi,3.0,0.32,25-29,sv,sv,sv,3,3,3,sv,sv,sv,sv
Castello di Meleto,Chianti Classico Riserva Vigna Poggiarso,3.0,0.11,25-29,sv,sv,sv,3,sv,sv,sv,sv,sv,sv
Castello di Meleto,Chianti Classico 50° anniversario,3.0,0.11,25-29,sv,sv,sv,3,sv,sv,sv,sv,sv,sv
Castello di Meleto,Chianti Classico Gran Selezione,3.3,0.53,35-39,sv,sv,sv,sv,3,sv,4,3,sv,sv
Castello di Meleto,Chianti Classico Riserva Borgaio,2.0,0.04,15-19,sv,2,sv,sv,sv,sv,sv,sv,sv,sv
Castello di Monsanto,Chianti Classico Gran Selezione Il Poggio,4.8,5.00,55-59,sv,sv,sv,5,5,4,5,5,5,sv
Castello di Monsanto,Chianti Classico,2.3,0.36,15-19,3,3,2,2,2,2,sv,sv,sv,sv
Castello di Monsanto,Chianti Classico Riserva,3.2,0.98,25-29,sv,3,4,4,3,3,2,sv,sv,sv
Castello di Poppiano,Chianti Classico Riserva Belvedere Campoli,3.0,0.32,30-34,sv,3,sv,3,3,sv,sv,sv,sv,sv
Castello di Poppiano,Chianti Classico Gran Selezione Il Tabernacolo,3.0,0.21,40-44,sv,sv,3,sv,3,sv,sv,sv,sv,sv
Castello di Poppiano,Chianti Classico Belvedere Campoli,2.0,0.04,20-24,sv,sv,2,sv,sv,sv,sv,sv,sv,sv
Castello di Querceto,Chianti Classico Gran Selezione La Corte,3.5,0.42,25-29,sv,3,4,sv,sv,sv,sv,sv,sv,sv
Castello di Querceto,Chianti Classico Gran Selezione Il Picchio,2.6,0.39,25-29,sv,3,3,2,2,sv,3,sv,sv,sv
Castello di Querceto,Chianti Classico Riserva,2.0,0.22,20-24,sv,2,2,2,2,2,2,sv,sv,sv
Castello di Querceto,Chianti Classico,2.0,0.18,10-14,2,2,2,2,2,sv,sv,sv,sv,sv
Castello di Radda,Chianti Classico Riserva,3.3,0.67,20-24,sv,sv,sv,4,4,2,sv,sv,sv,sv
Castello di Radda,Chianti Classico,3.2,0.74,10-14,4,3,3,3,3,sv,sv,sv,sv,sv
Castello di Radda,Chianti Classico Gran Selezione Il Corno,3.7,1.29,35-39,sv,sv,sv,sv,5,4,2,sv,sv,sv
Castello di Volpaia,Chianti Classico Gran Selezione Coltassala,4.3,3.13,40-44,sv,4,5,4,4,sv,5,4,sv,sv
Castello di Volpaia,Chianti Classico Gran Selezione Il Puro Vigneto Casanova,4.0,2.40,80-84,sv,sv,3,3,5,sv,4,5,sv,sv
Castello di Volpaia,Chianti Classico Riserva Castello di Volpaia,3.0,0.78,25-29,sv,3,3,3,3,4,2,sv,sv,sv
Castello di Volpaia,Chianti Classico Volpaia,2.3,0.36,15-19,3,2,2,2,3,2,sv,sv,sv,sv
Castello la Leccia,Chianti Classico Riserva,3.4,1.36,25-29,sv,3,sv,5,3,3,sv,3,sv,sv
Castello la Leccia,Chianti Classico Gran Selezione Bruciagna,3.0,0.32,40-44,sv,3,sv,sv,3,sv,3,sv,sv,sv
Castello la Leccia,Chianti Classico,2.6,0.39,15-19,3,sv,3,2,2,sv,3,sv,sv,sv
Castello Vicchiomaggio,Chianti Classico Gran Selezione La Prima,4.0,2.30,40-44,sv,sv,4,4,4,5,4,3,sv,sv
Castello Vicchiomaggio,Chianti Classico Riserva Agostino Petri,2.8,0.57,25-29,sv,3,3,3,3,sv,3,2,sv,sv
Castello Vicchiomaggio,Chianti Classico Guado Alto,2.5,0.29,15-19,3,3,2,2,sv,sv,sv,sv,sv,sv
Castello Vicchiomaggio,Chianti Classico San Jacopo,2.7,0.25,15-19,sv,sv,3,sv,3,2,sv,sv,sv,sv
Castello Vicchiomaggio,Chianti Classico Gran Selezione Le Bolle,4.0,0.31,85-89,sv,sv,sv,4,sv,sv,sv,sv,sv,sv
Cecchi,Chianti Classico Gran Selezione Villa Rosa,4.8,3.13,40-44,sv,4,5,5,5,sv,sv,sv,sv,sv
Cecchi,Chianti Classico Riserva Villa Cerna,2.8,0.57,30-34,sv,3,3,3,2,3,3,sv,sv,sv
Cecchi,Chianti Classico Villa Rosa Ribaldoni,2.0,0.07,25-29,sv,sv,2,2,sv,sv,sv,sv,sv,sv
Cecchi,Chianti Classico Villa Cerna Primocolle,2.5,0.14,15-19,sv,sv,sv,sv,3,2,sv,sv,sv,sv
Cecchi,Chianti Classico Riserva Di Famiglia,3.0,0.11,25-29,sv,sv,sv,sv,sv,sv,3,sv,sv,sv
Cinciano,Chianti Classico Gran Selezione,4.0,0.31,25-29,sv,sv,sv,4,sv,sv,sv,sv,sv,sv
Cinciano,Chianti Classico Riserva,3.0,0.11,15-19,sv,sv,3,sv,sv,sv,sv,sv,sv,sv
Cinciano,Chianti Classico,3.0,0.11,10-14,sv,3,sv,sv,sv,sv,sv,sv,sv,sv
Cinciano,Chianti Classico Riserva Camponi,3.0,0.11,20-24,sv,sv,3,sv,sv,sv,sv,sv,sv,sv
Dievole,Chianti Classico Riserva Novecento,2.8,0.46,25-29,sv,3,sv,3,3,3,2,sv,sv,sv
Dievole,Chianti Classico Dievole,3.0,0.43,10-14,sv,3,sv,3,3,3,sv,sv,sv,sv
Dievole,Chianti Classico Gran Selezione Vigna Di Sessina,3.0,0.32,40-44,sv,sv,sv,3,3,sv,sv,sv,3,sv
Fattorie Casaloste,Chianti Classico Gran Selezione,3.0,0.46,40-44,sv,sv,sv,4,2,sv,sv,sv,3,sv
Fattorie Casaloste,Chianti Classico Riserva,2.8,0.36,30-34,sv,sv,3,3,2,sv,sv,sv,3,sv
Fattorie Casaloste,Chianti Classico,2.2,0.25,20-24,sv,3,2,2,2,2,sv,sv,sv,sv
Fattorie Casaloste,Chianti Classico Gran Selezione Don Vincenzo,3.0,0.21,60-64,sv,sv,sv,sv,3,sv,3,sv,sv,sv
Fattoria della Aiola,Chianti Classico Riserva,3.0,0.21,15-19,sv,sv,3,sv,3,sv,sv,sv,sv,sv
Fattoria della Aiola,Chianti Classico Gran Selezione Cancello Rosso,3.0,0.11,25-29,sv,sv,3,sv,sv,sv,sv,sv,sv,sv
Fattoria della Aiola,Chianti Classico,2.0,0.07,10-14,sv,2,sv,2,sv,sv,sv,sv,sv,sv
Felsina,Chianti Classico Gran Selezione Colonia,4.5,2.50,85-89,sv,5,4,sv,sv,sv,4,sv,5,sv
Felsina,Chianti Classico Riserva Rancia,3.6,1.57,30-34,sv,4,3,3,5,3,sv,sv,sv,sv
Felsina,Chianti Classico Riserva Berardenga,2.6,0.39,20-24,sv,2,3,3,3,sv,2,sv,sv,sv
Felsina,Chianti Classico Berardenga,2.6,0.39,15-19,sv,2,3,3,3,2,sv,sv,sv,sv
Fontodi,Chianti Classico Gran Selezione Vigna Del Sorbo,4.5,4.17,60-64,sv,5,5,5,3,5,4,sv,sv,sv
Fontodi,Chianti Classico,2.8,0.57,25-29,sv,3,3,2,3,3,3,sv,sv,sv
Fontodi,Chianti Classico Filetta di Lamole,3.2,0.74,25-29,sv,3,3,3,4,3,sv,sv,sv,sv
Gagliole,Chianti Classico Gran Selezione Gallule,3.0,0.11,60-64,sv,3,sv,sv,sv,sv,sv,sv,sv,sv
Gagliole,Chianti Classico Riserva,3.0,0.11,30-34,sv,3,sv,sv,sv,sv,sv,sv,sv,sv
Gagliole,Chianti Classico Rubiolo,2.5,0.43,15-19,2,2,3,3,3,2,sv,sv,sv,sv
Geografico,Chianti Classico Riserva Contessa Di Radda,2.7,0.25,15-19,sv,3,3,sv,sv,sv,2,sv,sv,sv
Geografico,Chianti Classico Riserva Montegiachi,2.7,0.25,15-19,sv,3,sv,3,sv,sv,2,sv,sv,sv
Geografico,Chianti Classico Contessa Di Radda,2.0,0.11,10-14,2,2,sv,sv,sv,2,sv,sv,sv,sv
I Sodi,Chianti Classico Riserva,3.2,0.74,20-24,sv,sv,3,3,4,3,3,sv,sv,sv
I Sodi,Chianti Classico,2.6,0.39,10-14,sv,3,3,2,3,2,sv,sv,sv,sv
Il Molino di Grace,Chianti Classico Gran Selezione Il Margone,3.6,1.57,35-39,sv,3,sv,4,3,sv,5,3,sv,sv
Il Molino di Grace,Chianti Classico Riserva,2.8,0.46,25-29,sv,3,3,3,3,2,sv,sv,sv,sv
Il Molino di Grace,Chianti Classico,2.0,0.07,15-19,sv,2,sv,sv,2,sv,sv,sv,sv,sv
Il Molino di Grace,Chianti Classico Solosangiovese,2.0,0.04,10-14,sv,sv,sv,2,sv,sv,sv,sv,sv,sv
Isole e Olena,Chianti Classico,2.8,0.46,20-24,sv,3,3,3,3,2,sv,sv,sv,sv
Istine,Chianti Classico Vigna Istine,2.7,1.19,30-34,5,3,2,2,2,2,sv,sv,sv,sv
Istine,Chianti Classico Vigna Casanova dell'Aia,2.5,0.29,30-34,3,3,2,sv,2,sv,sv,sv,sv,sv
Istine,Chianti Classico Vigna Cavarchione,3.2,0.98,30-34,4,4,3,3,3,2,sv,sv,sv,sv
Istine,Chianti Classico,2.8,0.71,15-19,3,4,3,2,3,2,sv,sv,sv,sv
Istine,Chianti Classico Riserva Levigne,3.8,1.78,35-39,sv,sv,5,4,4,3,3,sv,sv,sv
La Sala Del Torriano,Chianti Classico Gran Selezione Il Torriano,4.0,0.31,45-49,sv,4,sv,sv,sv,sv,sv,sv,sv,sv
La Sala Del Torriano,Chianti Classico Riserva,4.0,0.31,25-29,sv,4,sv,sv,sv,sv,sv,sv,sv,sv
La Sala Del Torriano,Chianti Classico,2.0,0.04,15-19,2,sv,sv,sv,sv,sv,sv,sv,sv,sv
Lamole Di Lamole,Chianti Classico Gran Selezione Vigna Grospoli,4.0,0.63,45-49,sv,4,sv,sv,sv,sv,4,sv,sv,sv
Lamole Di Lamole,Chianti Classico Gran Selezione Vigneto Di Campolungo,3.0,0.21,35-39,sv,sv,3,3,sv,sv,sv,sv,sv,sv
Lamole Di Lamole,Chianti Classico Riserva Lareale,3.0,0.11,25-29,sv,3,sv,sv,sv,sv,sv,sv,sv,sv
Lamole Di Lamole,Chianti Classico Duelame,2.0,0.04,15-19,2,sv,sv,sv,sv,sv,sv,sv,sv,sv
Lamole Di Lamole,Chianti Classico Maggiolo,2.0,0.04,15-19,2,sv,sv,sv,sv,sv,sv,sv,sv,sv
Lamole Di Lamole,Chianti Classico Riserva,4.0,0.31,25-29,sv,sv,sv,4,sv,sv,sv,sv,sv,sv
Lamole Di Lamole,Chianti Classico Etichetta Blu,2.0,0.04,15-19,sv,sv,2,sv,sv,sv,sv,sv,sv,sv
Lamole Di Lamole,Chianti Classico,2.0,0.04,10-14,sv,sv,2,sv,sv,sv,sv,sv,sv,sv
Lamole Di Lamole,Chianti Classico Castello Di Lamole Le Stinche,3.0,0.21,15-19,sv,sv,sv,sv,sv,sv,3,3,sv,sv
Lamole Di Lamole,Chianti Classico Riserva Castello Di Lamole,3.0,0.11,25-29,sv,sv,sv,sv,sv,sv,sv,3,sv,sv
Lamole Di Lamole,Chianti Classico Gran Selezione Lama Della Villa,4.0,0.31,60-64,sv,sv,sv,sv,sv,sv,sv,4,sv,sv
Le Cinciole,Chianti Classico Gran Selezione Aluigi,3.4,0.95,35-39,sv,sv,sv,4,3,3,3,4,sv,sv
Le Cinciole,Chianti Classico Le Cinciole,2.2,0.29,15-19,sv,2,2,3,2,2,2,sv,sv,sv
Le Filigare,Chianti Classico Riserva Maria Vittoria,3.2,0.74,20-24,sv,3,3,3,sv,sv,4,sv,3,sv
Le Filigare,Chianti Classico Le Filigare,2.0,0.18,10-14,2,2,2,sv,2,2,sv,sv,sv,sv
Le Filigare,Chianti Classico Gran Selezione Lorenzo,3.0,0.11,25-29,sv,sv,sv,3,sv,sv,sv,sv,sv,sv
Le Filigare,Chianti Classico Lorenzo,1.7,0.07,25-29,sv,sv,sv,sv,2,2,1,sv,sv,sv
Lornano,Chianti Classico Gran Selezione,4.0,1.36,45-49,sv,sv,sv,4,5,sv,sv,3,sv,sv
Lornano,Chianti Classico Lornano,3.0,0.43,15-19,sv,3,3,3,sv,sv,3,sv,sv,sv
Lornano,Chianti Classico Riserva Le Bandite,4.0,1.99,20-24,sv,sv,3,5,4,sv,4,4,sv,sv
