Vino,Voto Medio,2018,2017,2016,2015,2014,2013,2012,2011
Amarone Classico Riserva Leone Zardini,4,sv,sv,sv,4,sv,5,3,4
Amarone Della Valpolicella,3,sv,3,3,3,sv,3,sv,sv
Rosignol Rosso,3,sv,3,sv,3,sv,sv,sv,sv
Valpolicella Ripasso Superiore,3,3,3,3,3,sv,sv,sv,sv
